iter	MultiRMSE
0	1.333319574
1	1.308053202
2	1.287029984
3	1.26439427
4	1.243153804
5	1.21858353
6	1.198278221
7	1.179973105
8	1.161700466
9	1.144442883
10	1.125733686
11	1.108238711
12	1.092379152
13	1.074223472
14	1.058585929
15	1.044202239
16	1.030564314
17	1.01621479
18	1.000769656
19	0.9874019598
20	0.9725382081
21	0.9607774028
22	0.9478435871
23	0.9366679657
24	0.9238653745
25	0.9147419127
26	0.9029797623
27	0.8928760656
28	0.8813031089
29	0.8725187834
30	0.8634911589
31	0.8529501831
32	0.8418823673
33	0.8306377218
34	0.8220771531
35	0.8128738672
36	0.8030098364
37	0.7942980407
38	0.7876459414
39	0.7799093599
40	0.7715550481
41	0.7645658624
42	0.7571538052
43	0.7495278159
44	0.7426861463
45	0.7347543223
46	0.7279458281
47	0.7216529486
48	0.7164177097
49	0.7105432056
50	0.7037997072
51	0.6975938275
52	0.6917814955
53	0.6868810754
54	0.6799105625
55	0.6751973467
56	0.6698034778
57	0.6659768189
58	0.659979844
59	0.6561017609
60	0.6537829186
61	0.6488630492
62	0.644312266
63	0.6392976411
64	0.6350519411
65	0.6313740964
66	0.6274507931
67	0.6223933592
68	0.6176160956
69	0.6142703727
70	0.6105891674
71	0.6071312075
72	0.6043045561
73	0.6000365053
74	0.5951456194
75	0.5915750043
76	0.5893263334
77	0.5860903727
78	0.5837603179
79	0.5809049748
80	0.576329325
81	0.5744310454
82	0.5708001638
83	0.568110586
84	0.5656806683
85	0.5630809269
86	0.5602160023
87	0.5585997242
88	0.5554728756
89	0.5525825269
90	0.5492671617
91	0.5472011704
92	0.5439829513
93	0.5414665017
94	0.5385666112
95	0.5350640744
96	0.5321589501
97	0.5301280868
98	0.5273189009
99	0.5247775558
100	0.5217991718
101	0.519513195
102	0.5177618315
103	0.5156740036
104	0.5134871669
105	0.5115213746
106	0.508776001
107	0.5055720696
108	0.5040676108
109	0.5022846226
110	0.500464591
111	0.4988653564
112	0.4969511934
113	0.4948328043
114	0.4929288378
115	0.4905003717
116	0.4891699494
117	0.4875989947
118	0.4860311315
119	0.4847804946
120	0.4825378258
121	0.4806568697
122	0.4802918396
123	0.4780906092
124	0.4769887182
125	0.4749806021
126	0.4735550387
127	0.4719154059
128	0.4703524192
129	0.4690491547
130	0.4668407162
131	0.4658829012
132	0.4645354614
133	0.4633905005
134	0.4622514056
135	0.4612039871
136	0.4598323085
137	0.4583529803
138	0.4572485495
139	0.4558329313
140	0.4549280356
141	0.4537031172
142	0.4525723665
143	0.4514009267
144	0.4499017975
145	0.4481160068
146	0.4471301308
147	0.4458831878
148	0.4445717104
149	0.4434394855
150	0.4420803411
151	0.4413609054
152	0.4406634508
153	0.439341578
154	0.4380192795
155	0.4373621893
156	0.4360207784
157	0.4355756987
158	0.434698751
159	0.4339244288
160	0.4331607864
161	0.4318572618
162	0.431425753
