iter	Passed	Remaining
0	14	28305
1	29	29706
2	43	28628
3	57	28725
4	73	29178
5	86	28650
6	101	28929
7	116	29099
8	131	29100
9	146	29188
10	162	29328
11	177	29450
12	192	29454
13	208	29606
14	224	29659
15	239	29703
16	254	29697
17	269	29713
18	284	29637
19	299	29614
20	314	29600
21	329	29659
22	344	29625
23	359	29636
24	374	29614
25	389	29607
26	404	29579
27	419	29531
28	434	29534
29	449	29502
30	466	29631
31	482	29659
32	497	29643
33	511	29597
34	527	29595
35	542	29606
36	558	29609
37	573	29587
38	587	29534
39	602	29529
40	617	29495
41	632	29488
42	647	29480
43	662	29454
44	677	29437
45	692	29435
46	708	29429
47	723	29422
48	738	29395
49	754	29442
50	770	29445
51	785	29434
52	800	29416
53	815	29379
54	829	29342
55	844	29318
56	856	29204
57	870	29158
58	886	29173
59	902	29189
60	917	29170
61	932	29147
62	948	29148
63	962	29119
64	993	29588
65	1009	29584
66	1024	29560
67	1040	29552
68	1055	29538
69	1070	29525
70	1085	29493
71	1100	29469
72	1115	29443
73	1130	29411
74	1144	29375
75	1159	29358
76	1174	29344
77	1189	29320
78	1205	29305
79	1219	29278
80	1234	29246
81	1249	29234
82	1264	29214
83	1280	29208
84	1294	29174
85	1310	29162
86	1325	29139
87	1340	29119
88	1355	29100
89	1370	29086
90	1385	29064
91	1400	29036
92	1414	29008
93	1429	28987
94	1445	28983
95	1461	28983
96	1483	29110
97	1499	29111
98	1515	29103
99	1530	29086
100	1546	29077
101	1561	29048
102	1576	29031
103	1591	29011
104	1606	28997
105	1622	28991
106	1634	28915
107	1649	28899
108	1664	28875
109	1679	28861
110	1695	28847
111	1710	28841
112	1723	28785
113	1731	28646
114	1746	28623
115	1761	28605
116	1776	28588
117	1791	28568
118	1806	28551
119	1821	28532
120	1836	28525
121	1851	28507
122	1867	28494
123	1881	28465
124	1897	28456
125	1917	28521
126	1932	28499
127	1950	28518
128	1965	28511
129	1980	28490
130	1995	28469
131	2010	28449
132	2025	28435
133	2040	28417
134	2050	28328
135	2065	28308
136	2079	28284
137	2094	28264
138	2109	28243
139	2124	28227
140	2139	28211
141	2154	28186
142	2169	28172
143	2179	28088
144	2193	28067
145	2209	28052
146	2224	28037
147	2239	28022
148	2254	28006
149	2269	27993
150	2285	27987
151	2300	27973
152	2315	27956
153	2331	27942
154	2346	27926
155	2361	27912
156	2376	27902
157	2392	27888
158	2407	27873
159	2422	27860
160	2437	27841
161	2452	27827
162	2467	27813
163	2483	27801
164	2498	27787
165	2513	27771
166	2528	27753
167	2543	27739
168	2559	27726
169	2573	27702
170	2588	27689
171	2603	27672
172	2618	27651
173	2633	27636
174	2648	27619
175	2663	27603
176	2678	27587
177	2693	27574
178	2710	27570
179	2725	27554
180	2739	27534
181	2754	27519
182	2769	27501
183	2785	27489
184	2799	27467
185	2814	27449
186	2830	27439
187	2845	27423
188	2860	27406
189	2875	27393
190	2890	27378
191	2905	27359
192	2920	27345
193	2935	27324
194	2947	27281
195	2961	27260
196	2976	27240
197	2991	27229
198	3006	27208
199	3021	27192
200	3035	27171
201	3051	27159
202	3066	27142
203	3081	27126
204	3095	27108
205	3111	27093
206	3126	27077
207	3140	27057
208	3155	27037
209	3169	27018
210	3185	27006
211	3200	26990
212	3214	26972
213	3229	26954
214	3244	26933
215	3259	26919
216	3274	26902
217	3289	26891
218	3304	26877
219	3319	26855
220	3333	26835
221	3348	26820
222	3363	26805
223	3379	26791
224	3394	26778
225	3409	26759
226	3424	26747
227	3439	26734
228	3454	26719
229	3466	26680
230	3481	26661
231	3496	26645
232	3511	26627
233	3526	26617
234	3541	26598
235	3555	26578
236	3571	26564
237	3585	26546
238	3600	26532
239	3616	26517
240	3630	26495
241	3644	26475
242	3659	26462
243	3674	26445
244	3689	26428
245	3704	26412
246	3719	26398
247	3734	26382
248	3749	26367
249	3764	26349
250	3779	26332
251	3793	26314
252	3809	26304
253	3824	26288
254	3839	26276
255	3855	26263
256	3870	26250
257	3886	26242
258	3901	26228
259	3920	26240
260	3937	26231
261	3952	26216
262	3966	26199
263	3981	26183
264	3996	26167
265	4011	26151
266	4026	26132
267	4040	26111
268	4055	26096
269	4070	26080
270	4085	26065
271	4100	26050
272	4115	26032
273	4130	26016
274	4145	26000
275	4159	25982
276	4175	25969
277	4189	25952
278	4204	25937
279	4219	25920
280	4234	25904
281	4249	25886
282	4264	25872
283	4279	25860
284	4295	25849
285	4310	25831
286	4325	25816
287	4340	25802
288	4355	25786
289	4369	25767
290	4384	25747
291	4398	25728
292	4413	25715
293	4429	25700
294	4443	25682
295	4458	25664
296	4472	25646
297	4486	25626
298	4501	25611
299	4516	25593
300	4531	25576
301	4547	25570
302	4562	25555
303	4577	25539
304	4592	25523
305	4607	25507
306	4622	25491
307	4637	25474
308	4651	25457
309	4666	25442
310	4682	25430
311	4697	25412
312	4711	25395
313	4727	25383
314	4742	25366
315	4757	25352
316	4771	25334
317	4786	25317
318	4801	25304
319	4817	25291
320	4832	25278
321	4847	25261
322	4862	25243
323	4876	25224
324	4890	25206
325	4906	25192
326	4920	25175
327	4937	25171
328	4952	25154
329	4968	25141
330	4983	25126
331	4997	25108
332	5012	25092
333	5027	25079
334	5042	25062
335	5057	25048
336	5072	25030
337	5086	25011
338	5101	24997
339	5117	24984
340	5132	24969
341	5147	24955
342	5162	24940
343	5177	24925
344	5193	24911
345	5208	24897
346	5222	24878
347	5237	24863
348	5252	24846
349	5267	24832
350	5282	24818
351	5297	24803
352	5312	24786
353	5327	24770
354	5342	24754
355	5357	24739
356	5371	24723
357	5386	24707
358	5401	24692
359	5417	24677
360	5432	24663
361	5447	24648
362	5462	24634
363	5477	24616
364	5500	24637
365	5515	24624
366	5531	24612
367	5546	24597
368	5560	24579
369	5575	24564
370	5591	24550
371	5606	24535
372	5621	24520
373	5637	24509
374	5652	24494
375	5666	24474
376	5681	24459
377	5697	24447
378	5712	24433
379	5727	24418
380	5742	24400
381	5757	24386
382	5773	24373
383	5787	24356
384	5802	24340
385	5817	24326
386	5833	24313
387	5848	24298
388	5863	24283
389	5878	24268
390	5893	24251
391	5908	24238
392	5923	24222
393	5938	24207
394	5954	24196
395	5969	24181
396	5985	24167
397	6000	24154
398	6015	24136
399	6030	24120
400	6045	24107
401	6060	24091
402	6075	24076
403	6090	24061
404	6106	24048
405	6121	24033
406	6136	24019
407	6152	24005
408	6166	23989
409	6181	23972
410	6196	23957
411	6211	23941
412	6226	23924
413	6241	23909
414	6255	23893
415	6270	23876
416	6285	23861
417	6301	23847
418	6315	23830
419	6330	23814
420	6345	23798
421	6360	23785
422	6375	23769
423	6389	23751
424	6404	23734
425	6420	23721
426	6435	23705
427	6449	23689
428	6465	23676
429	6480	23660
430	6495	23644
431	6509	23628
432	6524	23612
433	6555	23653
434	6571	23641
435	6586	23627
436	6601	23610
437	6617	23597
438	6632	23584
439	6647	23568
440	6661	23550
441	6677	23537
442	6692	23521
443	6707	23507
444	6722	23491
445	6737	23476
446	6752	23461
447	6767	23444
448	6783	23430
449	6811	23462
450	6829	23456
451	6844	23441
452	6859	23426
453	6875	23411
454	6890	23396
455	6904	23378
456	6919	23362
457	6934	23347
458	6949	23330
459	6964	23314
460	6979	23299
461	6994	23285
462	7010	23271
463	7025	23256
464	7039	23239
465	7055	23224
466	7070	23209
467	7085	23195
468	7100	23180
469	7116	23165
470	7132	23152
471	7147	23139
472	7162	23121
473	7178	23110
474	7193	23094
475	7209	23081
476	7223	23064
477	7238	23048
478	7253	23033
479	7269	23018
480	7283	23001
481	7297	22983
482	7313	22969
483	7328	22954
484	7343	22938
485	7358	22922
486	7373	22907
487	7388	22891
488	7403	22875
489	7418	22860
490	7433	22846
491	7449	22834
492	7464	22818
493	7479	22802
494	7494	22787
495	7509	22772
496	7524	22756
497	7539	22740
498	7555	22726
499	7570	22710
500	7585	22695
501	7600	22679
502	7615	22665
503	7629	22647
504	7644	22631
505	7659	22616
506	7675	22603
507	7690	22588
508	7706	22574
509	7721	22559
510	7737	22545
511	7752	22531
512	7767	22514
513	7782	22498
514	7797	22483
515	7812	22468
516	7827	22453
517	7843	22440
518	7859	22427
519	7874	22413
520	7891	22403
521	7909	22394
522	7924	22378
523	7939	22362
524	7954	22348
525	7975	22350
526	7990	22335
527	8006	22319
528	8021	22305
529	8035	22288
530	8051	22274
531	8066	22259
532	8082	22244
533	8096	22228
534	8111	22212
535	8126	22196
536	8142	22182
537	8156	22166
538	8171	22149
539	8186	22133
540	8200	22115
541	8216	22101
542	8230	22085
543	8246	22070
544	8261	22055
545	8276	22040
546	8291	22025
547	8306	22009
548	8321	21994
549	8336	21978
550	8351	21963
551	8367	21948
552	8381	21932
553	8397	21917
554	8411	21901
555	8431	21898
556	8454	21902
557	8469	21887
558	8485	21872
559	8499	21856
560	8514	21839
561	8528	21822
562	8544	21808
563	8559	21792
564	8574	21776
565	8589	21762
566	8604	21747
567	8622	21738
568	8637	21722
569	8652	21706
570	8667	21691
571	8683	21678
572	8698	21662
573	8713	21648
574	8728	21632
575	8744	21618
576	8759	21602
577	8773	21585
578	8788	21568
579	8803	21553
580	8818	21538
581	8833	21522
582	8848	21506
583	8863	21490
584	8878	21474
585	8892	21458
586	8907	21442
587	8922	21425
588	8937	21410
589	8953	21396
590	8970	21385
591	8984	21368
592	8999	21352
593	9013	21335
594	9028	21319
595	9042	21302
596	9057	21285
597	9072	21271
598	9087	21255
599	9102	21238
600	9116	21221
601	9132	21206
602	9147	21191
603	9161	21175
604	9176	21159
605	9192	21144
606	9206	21128
607	9221	21113
608	9236	21096
609	9251	21080
610	9267	21067
611	9282	21051
612	9297	21035
613	9312	21020
614	9327	21005
615	9341	20988
616	9356	20972
617	9371	20957
618	9386	20941
619	9401	20925
620	9416	20911
621	9432	20896
622	9456	20900
623	9472	20888
624	9488	20875
625	9504	20861
626	9520	20847
627	9535	20832
628	9550	20817
629	9565	20801
630	9580	20786
631	9595	20770
632	9611	20755
633	9626	20740
634	9641	20724
635	9656	20709
636	9671	20695
637	9687	20681
638	9702	20665
639	9717	20649
640	9732	20633
641	9747	20619
642	9762	20602
643	9777	20587
644	9792	20572
645	9807	20556
646	9822	20541
647	9837	20526
648	9853	20511
649	9867	20494
650	9882	20478
651	9897	20463
652	9912	20447
653	9927	20430
654	9942	20415
655	9957	20401
656	9973	20386
657	9988	20372
658	10003	20355
659	10018	20340
660	10033	20325
661	10048	20310
662	10063	20294
663	10078	20279
664	10094	20264
665	10109	20249
666	10123	20232
667	10138	20216
668	10153	20201
669	10169	20186
670	10184	20172
671	10200	20157
672	10215	20142
673	10230	20127
674	10244	20110
675	10259	20094
676	10275	20079
677	10290	20065
678	10305	20049
679	10320	20033
680	10335	20017
681	10350	20002
682	10365	19986
683	10380	19972
684	10396	19957
685	10411	19942
686	10426	19926
687	10440	19910
688	10455	19894
689	10470	19879
690	10485	19863
691	10501	19848
692	10515	19833
693	10531	19818
694	10546	19802
695	10561	19787
696	10576	19771
697	10590	19755
698	10606	19741
699	10621	19726
700	10636	19710
701	10652	19695
702	10667	19680
703	10682	19665
704	10697	19650
705	10713	19635
706	10728	19621
707	10753	19622
708	10782	19632
709	10797	19618
710	10813	19603
711	10828	19588
712	10843	19572
713	10858	19556
714	10873	19541
715	10887	19525
716	10902	19509
717	10917	19493
718	10932	19478
719	10949	19465
720	10964	19450
721	10979	19434
722	10994	19419
723	11009	19402
724	11024	19387
725	11039	19372
726	11054	19356
727	11069	19341
728	11085	19327
729	11100	19312
730	11115	19295
731	11130	19280
732	11145	19265
733	11161	19250
734	11177	19237
735	11192	19222
736	11207	19206
737	11223	19191
738	11238	19177
739	11268	19187
740	11284	19172
741	11299	19157
742	11315	19143
743	11331	19128
744	11346	19113
745	11361	19098
746	11376	19082
747	11391	19066
748	11405	19050
749	11420	19034
750	11436	19019
751	11451	19005
752	11466	18989
753	11482	18974
754	11497	18959
755	11512	18943
756	11527	18927
757	11542	18912
758	11557	18896
759	11572	18881
760	11587	18865
761	11602	18850
762	11618	18836
763	11633	18820
764	11648	18805
765	11663	18789
766	11679	18774
767	11695	18761
768	11710	18745
769	11725	18730
770	11740	18714
771	11755	18698
772	11770	18683
773	11785	18668
774	11801	18653
775	11817	18639
776	11833	18626
777	11849	18611
778	11866	18599
779	11882	18585
780	11897	18569
781	11912	18554
782	11927	18539
783	11942	18523
784	11956	18506
785	11971	18490
786	11986	18475
787	12002	18460
788	12017	18445
789	12033	18430
790	12047	18413
791	12062	18398
792	12077	18383
793	12092	18367
794	12107	18352
795	12122	18336
796	12137	18320
797	12152	18305
798	12167	18289
799	12182	18274
800	12198	18259
801	12213	18243
802	12228	18228
803	12242	18212
804	12257	18195
805	12271	18179
806	12286	18163
807	12301	18147
808	12316	18132
809	12331	18116
810	12346	18100
811	12361	18085
812	12376	18070
813	12392	18055
814	12406	18038
815	12421	18023
816	12436	18007
817	12451	17992
818	12466	17977
819	12482	17962
820	12498	17947
821	12513	17932
822	12528	17916
823	12543	17901
824	12558	17885
825	12573	17870
826	12588	17855
827	12603	17839
828	12618	17824
829	12633	17808
830	12648	17792
831	12662	17776
832	12677	17760
833	12691	17743
834	12705	17727
835	12720	17710
836	12735	17695
837	12750	17679
838	12764	17663
839	12779	17647
840	12793	17631
841	12807	17614
842	12822	17598
843	12837	17583
844	12852	17567
845	12867	17551
846	12881	17535
847	12896	17519
848	12910	17503
849	12924	17486
850	12939	17471
851	12954	17455
852	12970	17440
853	12985	17425
854	12999	17408
855	13014	17393
856	13029	17377
857	13044	17361
858	13059	17346
859	13074	17331
860	13088	17314
861	13103	17299
862	13118	17283
863	13133	17267
864	13148	17252
865	13163	17236
866	13177	17220
867	13193	17205
868	13207	17189
869	13222	17173
870	13237	17158
871	13252	17142
872	13267	17127
873	13282	17111
874	13297	17096
875	13312	17081
876	13327	17065
877	13341	17049
878	13355	17032
879	13370	17016
880	13385	17001
881	13407	16995
882	13424	16982
883	13440	16967
884	13456	16953
885	13471	16938
886	13486	16923
887	13501	16907
888	13516	16891
889	13531	16876
890	13545	16859
891	13561	16845
892	13576	16830
893	13591	16814
894	13606	16799
895	13621	16783
896	13636	16767
897	13651	16752
898	13665	16736
899	13681	16721
900	13696	16705
901	13711	16691
902	13727	16676
903	13741	16659
904	13756	16644
905	13771	16629
906	13786	16614
907	13801	16598
908	13816	16583
909	13831	16567
910	13849	16555
911	13864	16539
912	13879	16524
913	13894	16509
914	13909	16494
915	13924	16478
916	13939	16462
917	13953	16446
918	13969	16431
919	13983	16415
920	13998	16400
921	14013	16384
922	14029	16369
923	14044	16354
924	14059	16339
925	14073	16322
926	14088	16307
927	14103	16292
928	14118	16276
929	14132	16260
930	14148	16245
931	14162	16229
932	14178	16214
933	14192	16198
934	14208	16183
935	14223	16168
936	14238	16153
937	14253	16138
938	14268	16122
939	14283	16107
940	14298	16091
941	14313	16076
942	14328	16060
943	14343	16045
944	14358	16029
945	14376	16017
946	14391	16002
947	14407	15987
948	14422	15972
949	14436	15956
950	14451	15940
951	14468	15928
952	14484	15912
953	14499	15897
954	14514	15882
955	14529	15866
956	14544	15851
957	14559	15835
958	14574	15820
959	14589	15805
960	14605	15790
961	14620	15775
962	14634	15759
963	14650	15744
964	14664	15728
965	14679	15712
966	14694	15697
967	14721	15695
968	14738	15681
969	14753	15666
970	14768	15650
971	14783	15634
972	14798	15619
973	14813	15604
974	14828	15588
975	14844	15575
976	14859	15559
977	14875	15544
978	14890	15528
979	14905	15513
980	14920	15498
981	14935	15483
982	14950	15467
983	14965	15452
984	14980	15436
985	14994	15420
986	15010	15405
987	15025	15390
988	15041	15375
989	15056	15360
990	15071	15345
991	15086	15329
992	15101	15313
993	15117	15299
994	15132	15284
995	15147	15268
996	15162	15253
997	15177	15238
998	15193	15223
999	15207	15207
1000	15223	15192
1001	15238	15177
1002	15253	15162
1003	15268	15147
1004	15284	15132
1005	15299	15116
1006	15314	15101
1007	15328	15085
1008	15343	15069
1009	15358	15054
1010	15373	15039
1011	15389	15024
1012	15404	15008
1013	15419	14994
1014	15434	14978
1015	15448	14962
1016	15464	14947
1017	15479	14931
1018	15494	14916
1019	15509	14901
1020	15525	14886
1021	15539	14870
1022	15555	14855
1023	15570	14840
1024	15585	14825
1025	15601	14810
1026	15615	14794
1027	15631	14779
1028	15646	14764
1029	15661	14749
1030	15676	14733
1031	15690	14717
1032	15705	14702
1033	15720	14686
1034	15735	14671
1035	15750	14655
1036	15765	14640
1037	15780	14625
1038	15796	14610
1039	15812	14596
1040	15827	14581
1041	15843	14566
1042	15859	14551
1043	15874	14536
1044	15889	14521
1045	15904	14505
1046	15926	14496
1047	15941	14481
1048	15956	14465
1049	15971	14450
1050	15987	14435
1051	16002	14420
1052	16017	14404
1053	16031	14389
1054	16047	14374
1055	16061	14358
1056	16076	14342
1057	16090	14326
1058	16105	14311
1059	16121	14296
1060	16136	14280
1061	16151	14265
1062	16166	14250
1063	16180	14234
1064	16196	14219
1065	16211	14203
1066	16226	14188
1067	16241	14173
1068	16256	14158
1069	16271	14142
1070	16286	14126
1071	16301	14111
1072	16315	14095
1073	16330	14080
1074	16345	14064
1075	16359	14048
1076	16374	14033
1077	16389	14017
1078	16403	14001
1079	16419	13986
1080	16434	13971
1081	16448	13955
1082	16462	13939
1083	16476	13923
1084	16491	13907
1085	16507	13892
1086	16521	13876
1087	16537	13862
1088	16552	13846
1089	16566	13830
1090	16581	13815
1091	16596	13799
1092	16611	13784
1093	16626	13769
1094	16641	13754
1095	16656	13738
1096	16671	13723
1097	16687	13708
1098	16701	13692
1099	16716	13676
1100	16730	13661
1101	16746	13646
1102	16760	13630
1103	16774	13614
1104	16789	13598
1105	16803	13582
1106	16818	13567
1107	16832	13551
1108	16847	13535
1109	16861	13519
1110	16876	13504
1111	16891	13488
1112	16905	13472
1113	16920	13457
1114	16935	13441
1115	16950	13426
1116	16965	13411
1117	16980	13395
1118	16994	13380
1119	17011	13365
1120	17026	13350
1121	17041	13335
1122	17055	13319
1123	17070	13304
1124	17085	13288
1125	17100	13273
1126	17116	13258
1127	17131	13243
1128	17146	13228
1129	17161	13212
1130	17176	13197
1131	17192	13182
1132	17207	13167
1133	17222	13152
1134	17237	13137
1135	17252	13121
1136	17267	13106
1137	17282	13091
1138	17297	13075
1139	17312	13060
1140	17326	13044
1141	17341	13028
1142	17355	13013
1143	17370	12997
1144	17385	12982
1145	17400	12966
1146	17415	12951
1147	17430	12936
1148	17445	12920
1149	17460	12905
1150	17474	12889
1151	17489	12874
1152	17504	12858
1153	17518	12843
1154	17535	12829
1155	17550	12813
1156	17565	12798
1157	17581	12783
1158	17596	12768
1159	17611	12752
1160	17625	12737
1161	17640	12721
1162	17654	12706
1163	17669	12690
1164	17684	12675
1165	17699	12659
1166	17714	12644
1167	17728	12628
1168	17743	12613
1169	17758	12598
1170	17773	12582
1171	17788	12567
1172	17802	12551
1173	17817	12536
1174	17832	12520
1175	17847	12505
1176	17862	12490
1177	17877	12474
1178	17892	12459
1179	17906	12443
1180	17921	12428
1181	17936	12412
1182	17951	12397
1183	17966	12382
1184	17980	12366
1185	17995	12351
1186	18011	12336
1187	18026	12321
1188	18042	12306
1189	18056	12290
1190	18071	12275
1191	18086	12260
1192	18102	12245
1193	18116	12229
1194	18147	12224
1195	18163	12210
1196	18179	12195
1197	18194	12180
1198	18209	12164
1199	18225	12150
1200	18240	12134
1201	18255	12119
1202	18270	12104
1203	18285	12089
1204	18300	12074
1205	18315	12058
1206	18330	12043
1207	18345	12027
1208	18360	12012
1209	18374	11996
1210	18390	11981
1211	18404	11966
1212	18420	11950
1213	18434	11935
1214	18449	11919
1215	18464	11904
1216	18478	11889
1217	18494	11873
1218	18508	11858
1219	18523	11842
1220	18538	11827
1221	18553	11812
1222	18568	11797
1223	18584	11782
1224	18599	11767
1225	18614	11751
1226	18629	11736
1227	18644	11720
1228	18658	11705
1229	18672	11689
1230	18687	11673
1231	18702	11658
1232	18724	11647
1233	18740	11632
1234	18755	11617
1235	18770	11602
1236	18785	11587
1237	18800	11572
1238	18815	11556
1239	18830	11541
1240	18846	11526
1241	18861	11511
1242	18876	11495
1243	18891	11480
1244	18906	11465
1245	18921	11449
1246	18935	11434
1247	18951	11419
1248	18966	11403
1249	18981	11388
1250	18996	11373
1251	19012	11358
1252	19026	11343
1253	19041	11327
1254	19056	11312
1255	19071	11297
1256	19086	11282
1257	19101	11266
1258	19116	11251
1259	19131	11236
1260	19147	11221
1261	19162	11205
1262	19177	11190
1263	19192	11175
1264	19207	11160
1265	19222	11144
1266	19237	11129
1267	19251	11113
1268	19266	11098
1269	19281	11083
1270	19295	11067
1271	19311	11052
1272	19325	11036
1273	19340	11021
1274	19355	11006
1275	19370	10990
1276	19385	10975
1277	19399	10959
1278	19414	10944
1279	19429	10929
1280	19443	10913
1281	19458	10897
1282	19473	10882
1283	19489	10867
1284	19503	10852
1285	19519	10837
1286	19534	10821
1287	19549	10806
1288	19564	10791
1289	19579	10776
1290	19594	10761
1291	19610	10746
1292	19625	10730
1293	19639	10715
1294	19654	10699
1295	19669	10684
1296	19684	10669
1297	19698	10653
1298	19712	10638
1299	19728	10622
1300	19744	10608
1301	19758	10592
1302	19774	10577
1303	19789	10562
1304	19805	10547
1305	19820	10532
1306	19835	10517
1307	19851	10502
1308	19868	10488
1309	19883	10472
1310	19898	10457
1311	19913	10442
1312	19929	10427
1313	19943	10412
1314	19958	10396
