ROAD_NAME,YEAR,MONTH,TRAIN_KM,TRAIN_KM_lower_95,TRAIN_KM_upper_95,LOSS_12_COUNT,LOSS_12_COUNT_lower_95,LOSS_12_COUNT_upper_95,LOSS_12_SUM,LOSS_12_SUM_lower_95,LOSS_12_SUM_upper_95,LOSS_3_COUNT,LOSS_3_COUNT_lower_95,LOSS_3_COUNT_upper_95,LOSS_3_SUM,LOSS_3_SUM_lower_95,LOSS_3_SUM_upper_95,LOSS_TECH_COUNT,LOSS_TECH_COUNT_lower_95,LOSS_TECH_COUNT_upper_95,LOSS_TECH_SUM,LOSS_TECH_SUM_lower_95,LOSS_TECH_SUM_upper_95,LOSS_COUNT_TOTAL,LOSS_COUNT_TOTAL_lower_95,LOSS_COUNT_TOTAL_upper_95,LOSS_SUM_TOTAL,LOSS_SUM_TOTAL_lower_95,LOSS_SUM_TOTAL_upper_95,SPECIFIC_LOSS,SPECIFIC_LOSS_lower_95,SPECIFIC_LOSS_upper_95
Восточно-Сибирская,2025,1,9062941.172553055,8609794.113925401,9516088.231180709,657,624,690,1676.6805191637736,1592.846493205585,1760.5145451219623,1943,1846,2040,112.7689829584825,107.13053381055836,118.40743210640663,619,588,650,688.6153469189771,654.1845795730283,723.046114264926,3219,3058,3380,2478.064849041233,2354.1616065891712,2601.968091493295,273.4283277205865,259.7569113345571,287.09974410661584
Восточно-Сибирская,2025,2,8952435.215095818,8504813.454341026,9400056.97585061,640,608,672,1681.6459419654475,1597.563644867175,1765.72823906372,1896,1801,1991,110.61808510903704,105.08718085358518,116.1489893644889,599,569,629,643.5271580727199,611.3508001690839,675.7035159763559,3135,2978,3292,2435.7911851472045,2314.001625889844,2557.580744404565,272.0814087590283,258.4773383210769,285.6854791969797
Восточно-Сибирская,2025,3,9117346.299455864,8661478.98448307,9573213.614428658,617,586,648,1640.9198791436338,1558.873885186452,1722.9658731008155,1756,1668,1844,105.85505058692245,100.56229805757631,111.14780311626858,560,532,588,581.1867401989891,552.1274031890397,610.2460772089386,2933,2786,3080,2327.9616699295457,2211.5635864330684,2444.359753426023,255.33325086801648,242.56658832461565,268.09991341141733
Восточно-Сибирская,2025,4,9225580.00264091,8764301.002508864,9686859.002772957,565,537,593,1408.8767979141921,1338.4329580184824,1479.3206378099019,1588,1509,1667,99.46973893955618,94.49625199257837,104.443225886534,502,477,527,562.2178808072147,534.1069867668539,590.3287748475755,2655,2522,2788,2070.564417660963,1967.0361967779147,2174.092638544011,224.43731636040707,213.2154505423867,235.65918217842744
Восточно-Сибирская,2025,5,9479267.993059892,9005304.593406897,9953231.392712887,524,498,550,1332.148400100981,1265.540980095932,1398.7558201060301,1485,1411,1559,93.82001326405576,89.12901260085297,98.51101392725855,464,441,487,522.9842609071279,496.8350478617715,549.1334739524843,2473,2349,2597,1948.9526742721646,1851.5050405585562,2046.400307985773,205.60160085135917,195.3215208087912,215.88168089392713
Восточно-Сибирская,2025,6,9514858.384009212,9039115.46480875,9990601.303209674,507,482,532,1268.433731951184,1205.0120453536247,1331.8554185487433,1389,1320,1458,88.1679396360841,83.7595426542799,92.5763366178883,439,417,461,473.6992489451598,450.0142864979018,497.3842113924178,2335,2218,2452,1830.3009205324279,1738.7858745058063,1921.8159665590495,192.36239223575353,182.74427262396586,201.9805118475412
Восточно-Сибирская,2025,7,9562036.604850218,9083934.774607707,10040138.435092729,478,454,502,1232.3597188562237,1170.7417329134125,1293.9777047990349,1306,1241,1371,87.24161834337522,82.87953742620645,91.60369926054399,423,402,444,453.32579428250216,430.65950456837703,475.9920839966273,2207,2097,2317,1772.927131482101,1684.280774907996,1861.573488056206,185.41312951916615,176.14247304320784,194.68378599512445
Восточно-Сибирская,2025,8,9592121.181897484,9112515.12280261,10071727.240992358,471,447,495,1196.8890159855362,1137.0445651862592,1256.7334667848131,1342,1275,1409,85.81137001415615,81.52080151344835,90.10193851486396,436,414,458,461.2742216008903,438.2105105208458,484.33793268093484,2249,2137,2361,1743.9746076005827,1656.7758772205534,1831.173337980612,181.81323760711652,172.72257572676068,190.90389948747236
Восточно-Сибирская,2025,9,9589206.562980585,9109746.234831555,10068666.891129615,505,480,530,1243.1320615800794,1180.9754585010753,1305.2886646590835,1416,1345,1487,92.16842642405749,87.5600051028546,96.77684774526037,458,435,481,495.7477104446329,470.96032492240124,520.5350959668646,2379,2260,2498,1831.0481984487699,1739.4957885263314,1922.6006083712084,190.9488742809635,181.40143056691534,200.49631799501168
Восточно-Сибирская,2025,10,9514764.39231766,9039026.172701776,9990502.611933544,551,523,579,1405.8861583600706,1335.591850442067,1476.1804662780742,1556,1478,1634,97.35749227532844,92.48961766156201,102.22536688909487,504,479,529,540.4771423956853,513.453285275901,567.5009995154696,2611,2480,2742,2043.7207930310842,1941.53475337953,2145.9068326826387,214.79468211332798,204.05494800766158,225.53441621899438
Восточно-Сибирская,2025,11,9386358.753710965,8917040.816025415,9855676.691396514,602,572,632,1570.8647608138667,1492.3215227731732,1649.4079988545602,1700,1615,1785,101.31374998853083,96.24806248910429,106.37943748795738,563,535,591,606.7601732392695,576.422164577306,637.098181901233,2865,2722,3008,2278.9386840416673,2164.991749839584,2392.8856182437507,242.79262532349642,230.6529940573216,254.93225658967125
Восточно-Сибирская,2025,12,9207003.131722579,8746652.97513645,9667353.288308708,640,608,672,1725.646116349662,1639.3638105321788,1811.928422167145,1850,1758,1942,108.19330759843747,102.7836422185156,113.60297297835935,593,563,623,652.6080819766321,619.9776778778005,685.2384860754637,3083,2929,3237,2486.4475059247316,2362.125130628495,2610.7698812209683,270.06046053766585,256.55743751078256,283.56348356454913
Восточно-Сибирская,2026,1,9091824.016285397,8637232.815471128,9546415.217099667,649,617,681,1767.9592641801635,1679.5613009711553,1856.3572273891716,1915,1819,2011,108.82683021986747,103.38548870887409,114.26817173086086,617,586,648,685.1675129101523,650.9091372646446,719.4258885556599,3181,3022,3340,2561.953607310183,2433.8559269446737,2690.0512876756925,281.78653730221544,267.6972104371047,295.8758641673262
Восточно-Сибирская,2026,2,8950617.050774334,8503086.198235616,9398147.903313052,646,614,678,1715.0629487556403,1629.3098013178583,1800.8160961934223,1897,1802,1992,111.34403443737632,105.7768327155075,116.91123615924515,601,571,631,645.9511252211269,613.6535689600705,678.2486814821832,3144,2987,3301,2472.3581084141433,2348.740202993436,2595.9760138348506,276.2220855153506,262.41098123958307,290.03318979111816
Восточно-Сибирская,2026,3,9071987.1907396,8618387.831202619,9525586.550276581,616,585,647,1604.2752395327566,1524.0614775561187,1684.4890015093945,1776,1687,1865,107.83496997774336,102.44322147885619,113.22671847663052,558,530,586,591.2273305954209,561.6659640656499,620.7886971251919,2950,2802,3098,2303.337540105921,2188.170663100625,2418.504417111217,253.89558998243473,241.20081048331298,266.5903694815565
Восточно-Сибирская,2026,4,9217218.672314148,8756357.73869844,9678079.605929857,560,532,588,1435.0071711837409,1363.2568126245537,1506.757529742928,1609,1529,1689,100.38204219233769,95.3629400827208,105.40114430195459,499,474,524,553.274491961744,525.6107673636568,580.9382165598313,2668,2535,2801,2088.6637053378226,1984.2305200709313,2193.0968906047137,226.60455171922553,215.27432413326423,237.93477930518682
Восточно-Сибирская,2026,5,9468848.489665546,8995406.065182269,9942290.914148822,519,493,545,1345.0611113973623,1277.8080558274942,1412.3141669672304,1489,1415,1563,94.74354385916409,90.00636666620588,99.4807210521223,465,442,488,512.1671018510744,486.5587467585207,537.7754569436282,2473,2349,2597,1951.9717571076008,1854.3731692522206,2049.570344962981,206.14668818896135,195.83935377951326,216.45402259840944
Восточно-Сибирская,2026,6,9504911.131500483,9029665.574925458,9980156.688075507,504,479,529,1297.319939633941,1232.4539426522438,1362.1859366156382,1408,1338,1478,89.76404705511877,85.27584470236282,94.25224940787471,435,413,457,470.94295281499836,447.39580517424844,494.4901004557483,2347,2230,2464,1858.026939504058,1765.125592528855,1950.928286479261,195.48072715233715,185.7066907947203,205.25476350995402
Восточно-Сибирская,2026,7,9560125.231054047,9082118.969501344,10038131.49260675,472,448,496,1208.4846099444744,1148.0603794472506,1268.9088404416982,1339,1272,1406,86.59152193302283,82.26194583637168,90.92109802967398,425,404,446,453.89712460080875,431.2022683707683,476.5919808308492,2236,2124,2348,1748.9732564783062,1661.5245936543909,1836.4219193022216,182.94459687590034,173.7973670321053,192.09182671969538
Восточно-Сибирская,2026,8,9592371.124174599,9112752.567965869,10071989.680383328,474,450,498,1203.0027735058288,1142.8526348305372,1263.1529121811204,1348,1281,1415,87.69691998572496,83.3120739864387,92.08176598501122,431,409,453,462.34597757374485,439.22867869505757,485.4632764524321,2253,2140,2366,1753.0456710652986,1665.3933875120335,1840.6979546185637,182.75415414727755,173.61644643991366,191.89186185464143
Восточно-Сибирская,2026,9,9579772.848129814,9100784.205723323,10058761.490536306,497,472,522,1269.7543929202411,1206.266673274229,1333.2421125662531,1428,1357,1499,92.22318955084563,87.61203007330334,96.83434902838792,458,435,481,493.9340853399593,469.23738107296134,518.6307896069574,2383,2264,2502,1855.9116678110463,1763.116084420494,1948.7072512015986,193.73232510135787,184.04570884628998,203.41894135642576
Восточно-Сибирская,2026,10,9518935.574051343,9042988.795348775,9994882.352753911,546,519,573,1434.3298562902523,1362.6133634757396,1506.046349104765,1575,1496,1654,96.3912987528586,91.57173381521567,101.21086369050154,507,482,532,541.3651602301863,514.296902218677,568.4334182416957,2628,2497,2759,2072.0863152732973,1968.4819995096323,2175.6906310369623,217.68046428655458,206.79644107222686,228.5644875008823
Восточно-Сибирская,2026,11,9380293.440055244,8911278.768052481,9849308.112058006,603,573,633,1574.0686174939922,1495.3651866192924,1652.772048368692,1718,1632,1804,103.43387212023902,98.26217851422706,108.60556572625097,563,535,591,607.0979363222726,576.743039506159,637.4528331383863,2884,2740,3028,2284.600425936504,2170.370404639679,2398.8304472333293,243.55319378186203,231.37553409276893,255.73085347095514
Восточно-Сибирская,2026,12,9207637.906426819,8747256.011105478,9668019.80174816,644,612,676,1695.016783926254,1610.265944729941,1779.7676231225669,1863,1770,1956,109.951548481965,104.45397105786675,115.44912590606326,597,567,627,664.0979066953399,630.8930113605729,697.3028020301069,3104,2949,3259,2469.066239103559,2345.612927148381,2592.519551058737,268.1541416154279,254.74643453465646,281.56184869619926
Горьковская,2025,1,9361507.164137926,8893431.80593103,9829582.522344822,204,194,214,726.0191137487809,689.7181580613418,762.32006943622,1903,1808,1998,86.36295440005753,82.04480668005465,90.68110212006042,1421,1350,1492,651.9268477309735,619.3305053444248,684.5231901175222,3528,3352,3704,1464.308915879812,1391.0934700858213,1537.5243616738028,156.41807352231578,148.5971698462,164.23897719843157
Горьковская,2025,2,9222784.58512847,8761645.355872046,9683923.814384893,203,193,213,717.3862203267244,681.5169093103881,753.2555313430606,1879,1785,1973,81.16058721603403,77.10255785523232,85.21861657683574,1410,1340,1480,618.7832932673622,587.844128603994,649.7224579307303,3492,3317,3667,1417.3301008101207,1346.4635957696146,1488.1966058506268,153.67702538510258,145.99317411584744,161.36087665435772
Горьковская,2025,3,9409601.478530545,8939121.404604018,9880081.552457072,198,188,208,677.1037443288847,643.2485571124404,710.9589315453289,1729,1643,1815,82.45903407501548,78.33608237126471,86.58198577876625,1348,1281,1415,573.5135248576697,544.8378486147863,602.1892011005532,3275,3111,3439,1333.0763032615698,1266.4224880984912,1399.7301184246485,141.6719195072383,134.58832353187637,148.75551548260023
Горьковская,2025,4,9511042.775404207,9035490.636633996,9986594.914174419,185,176,194,646.975261571015,614.6264984924643,679.3240246495658,1593,1513,1673,73.26475293730944,69.60151529044397,76.9279905841749,1238,1176,1300,522.8933575423993,496.74868966527924,549.0380254195193,3016,2865,3167,1243.1333720507237,1180.9767034481874,1305.29004065326,130.70421418621916,124.1690034769082,137.23942489553014
Горьковская,2025,5,9815310.733307922,9324545.196642525,10306076.269973319,174,165,183,602.3372713525191,572.2204077848932,632.4541349201451,1472,1398,1546,68.53290211670097,65.10625701086592,71.95954722253602,1149,1092,1206,477.9792730174992,454.08030936662425,501.8782366683742,2795,2655,2935,1148.8494464867192,1091.4069741623832,1206.2919188110552,117.04667103285257,111.19433748120994,122.8990045844952
Горьковская,2025,6,9810974.775328457,9320426.036562035,10301523.51409488,170,162,178,597.4282502975077,567.5568377826323,627.2996628123831,1421,1350,1492,66.21036156026503,62.899843482251775,69.52087963827829,1068,1015,1121,454.4194065429549,431.69843621580713,477.14037687010267,2659,2526,2792,1118.0580184007276,1062.1551174806912,1173.960919320764,113.95993201534826,108.26193541458083,119.65792861611568
Горьковская,2025,7,9916907.563113391,9421062.184957722,10412752.94126906,163,155,171,575.6546142953919,546.8718835806222,604.4373450101615,1336,1269,1403,63.240276410466876,60.07826258994353,66.40229023099022,1029,978,1080,431.120559441873,409.56453146977935,452.6765874139667,2528,2402,2654,1070.0154501477318,1016.5146776403452,1123.5162226551186,107.89809659290631,102.50319176326099,113.29300142255164
Горьковская,2025,8,9944778.501658846,9447539.576575903,10442017.426741788,164,156,172,565.0553143273212,536.8025486109551,593.3080800436873,1369,1301,1437,63.56100617791883,60.38295586902289,66.73905648681477,1044,992,1096,437.6744621457964,415.79073903850656,459.5581852530862,2577,2448,2706,1066.2907826510364,1012.9762435184845,1119.6053217835881,107.2211696291851,101.86011114772585,112.58222811064435
Горьковская,2025,9,9926712.385874743,9430376.766581004,10423048.00516848,167,159,175,590.3080351004527,560.79263334543,619.8234368554754,1448,1376,1520,65.58191002884475,62.302814527402504,68.86100553028699,1108,1053,1163,461.3524778595506,438.28485396657305,484.4201017525282,2723,2587,2859,1117.242422988848,1061.3803018394055,1173.1045441382903,112.54908770990814,106.92163332441272,118.17654209540355
Горьковская,2025,10,9880996.089247929,9386946.284785531,10375045.893710326,180,171,189,663.540221917401,630.363210821531,696.7172330132711,1549,1472,1626,71.70886911744368,68.1234256615715,75.29431257331586,1226,1165,1287,524.4520291508965,498.2294276933516,550.6746306084414,2955,2807,3103,1259.7011201857413,1196.7160641764542,1322.6861761950283,127.4872602729287,121.11289725928225,133.86162328657514
Горьковская,2025,11,9719066.085835874,9233112.78154408,10205019.390127668,197,187,207,707.3932184530004,672.0235575303503,742.7628793756504,1687,1603,1771,75.42504158475421,71.6537895055165,79.19629366399192,1313,1247,1379,573.8714412425988,545.1778691804689,602.5650133047288,3197,3037,3357,1356.6897012803533,1288.8552162163355,1424.5241863443712,139.5905418584952,132.61101476557042,146.57006895141996
Горьковская,2025,12,9513747.247213991,9038059.884853292,9989434.60957469,203,193,213,720.5483442212228,684.5209270101616,756.575761432284,1817,1726,1908,84.98819341419106,80.7387837434815,89.23760308490061,1401,1331,1471,611.5498128697392,580.9723222262522,642.1273035132261,3421,3250,3592,1417.086350505153,1346.2320329798952,1487.9406680304107,148.95143981464642,141.5038678239141,156.39901180537873
Горьковская,2026,1,9379345.695892382,8910378.411097763,9848312.980687002,207,197,217,732.763525152305,696.1253488946896,769.4017014099203,1842,1750,1934,82.28803202421528,78.17363042300451,86.40243362542606,1435,1363,1507,639.6506235866477,607.6680924073153,671.6331547659802,3484,3310,3658,1454.702180763168,1381.9670717250094,1527.4372898013264,155.09633911886246,147.34152216291932,162.8511560748056
Горьковская,2026,2,9212249.864413464,8751637.37119279,9672862.357634138,205,195,215,711.0061302849485,675.455823770701,746.556436799196,1851,1758,1944,83.65537894934239,79.47261000187527,87.83814789680952,1415,1344,1486,616.6243257360478,585.7931094492454,647.4555420228502,3471,3297,3645,1411.2858349703388,1340.7215432218218,1481.8501267188558,153.19665182140542,145.53681923033514,160.8564844124757
Горьковская,2026,3,9345156.73148784,8877898.894913448,9812414.568062233,198,188,208,690.238331149748,655.7264145922605,724.7502477072354,1743,1656,1830,81.86307418938802,77.76992047991861,85.95622789885742,1353,1285,1421,575.1550622913107,546.3973091767451,603.9128154058764,3294,3129,3459,1347.2564676304469,1279.8936442489244,1414.6192910119694,144.16627846282793,136.95796453968654,151.37459238596932
Горьковская,2026,4,9516110.208798116,9040304.69835821,9991915.719238022,184,175,193,647.9642380784242,615.5660261745029,680.3624499823454,1591,1511,1671,75.10451127780436,71.34928571391414,78.85973684169458,1240,1178,1302,526.83780126497,500.4959112017215,553.1796913282186,3015,2864,3166,1249.9065506211987,1187.4112230901387,1312.4018781522586,131.3463719099846,124.77905331448538,137.91369050548386
Горьковская,2026,5,9804056.9259308,9313854.07963426,10294259.77222734,175,166,184,606.2584567716033,575.9455339330231,636.5713796101835,1481,1407,1555,69.18811121484335,65.72870565410118,72.64751677558552,1153,1095,1211,485.6053795312168,461.3251105546559,509.88564850777766,2809,2669,2949,1161.0519475176634,1102.9993501417803,1219.1045448935465,118.42566360939736,112.50438042892749,124.34694678986723
Горьковская,2026,6,9850786.331988633,9358247.0153892,10343325.648588065,170,162,178,587.8130657195273,558.4224124335509,617.2037190055038,1415,1344,1486,66.18334701967244,62.87417966868881,69.49251437065607,1064,1011,1117,445.6205928786884,423.33956323475394,467.90162252262286,2649,2517,2781,1099.617005617888,1044.6361553369936,1154.5978558987824,111.62733294164367,106.04596629456148,117.20869958872586
Горьковская,2026,7,9917365.377976825,9421497.109077984,10413233.646875666,162,154,170,559.0834804779056,531.1293064540102,587.037654501801,1352,1284,1420,63.482944535833006,60.30879730904135,66.65709176262466,1027,976,1078,427.33762479835707,405.9707435584392,448.7045060382749,2541,2414,2668,1049.9040498120958,997.408847321491,1102.3992523027007,105.86521821043156,100.57195729990998,111.15847912095315
Горьковская,2026,8,9954455.103949735,9456732.348752247,10452177.859147223,161,153,169,560.594951763657,532.5652041754742,588.6246993518399,1360,1292,1428,64.80231986417542,61.56220387096664,68.04243585738419,1035,983,1087,436.7584205490476,414.9204995215952,458.59634157650004,2556,2428,2684,1062.1556921768802,1009.0479075680361,1115.2634767857242,106.70154027370492,101.36646326001967,112.03661728739017
Горьковская,2026,9,9940911.872996815,9443866.279346973,10437957.466646656,167,159,175,585.8999491426739,556.6049516855402,615.1949465998076,1431,1359,1503,68.61662694279012,65.18579559565062,72.04745828992962,1103,1048,1158,462.2150825125262,439.10432838689985,485.3258366381525,2701,2566,2836,1116.7316585979902,1060.8950756680906,1172.5682415278898,112.33694382015855,106.72009662915062,117.95379101116649
Горьковская,2026,10,9872575.348481959,9378946.58105786,10366204.115906058,181,172,190,645.1712169106383,612.9126560651064,677.4297777561703,1553,1475,1631,73.25307187935529,69.59041828538753,76.91572547332305,1224,1163,1285,516.9542610629767,491.1065480098278,542.8019741161255,2958,2810,3106,1235.3785498529703,1173.6096223603217,1297.1474773456189,125.13234958930208,118.87573210983697,131.3889670687672
Горьковская,2026,11,9710333.21051762,9224816.54999174,10195849.871043501,197,187,207,691.1136948376675,656.5580100957841,725.6693795795509,1678,1594,1762,77.61070670954959,73.7301713740721,81.49124204502708,1326,1260,1392,574.2376942296185,545.5258095181375,602.9495789410994,3201,3041,3361,1342.9620957768357,1275.8139909879937,1410.1102005656776,138.3023699250839,131.3872514288297,145.2174884213381
Горьковская,2026,12,9512678.610807229,9037044.680266866,9988312.541347591,205,195,215,721.5177421816599,685.4418550725768,757.5936292907429,1825,1734,1916,83.30153939293463,79.1364624232879,87.46661636258136,1391,1321,1461,620.7950576193278,589.7553047383615,651.8348105002942,3421,3250,3592,1425.6143391939222,1354.3336222342261,1496.8950561536183,149.8646593162835,142.37142635046933,157.35789228209768
Дальневосточная,2025,1,9425212.319406,8953951.7034357,9896472.935376301,779,740,818,4178.533811247371,3969.6071206850024,4387.46050180974,1337,1270,1404,110.97486762549204,105.42612424421743,116.52361100676664,1819,1728,1910,1464.7203734370698,1391.4843547652163,1537.9563921089234,3935,3738,4132,5754.229052309933,5466.517599694436,6041.940504925429,610.5145281939472,579.9888017842497,641.0402546036446
Дальневосточная,2025,2,9258320.934483783,8795404.887759594,9721236.981207972,764,726,802,3986.416316623031,3787.095500791879,4185.737132454183,1334,1267,1401,110.13695600399267,104.63010820379303,115.6438038041923,1777,1688,1866,1462.6440074708376,1389.5118070972956,1535.7762078443795,3875,3681,4069,5559.197280097862,5281.2374160929685,5837.157144102755,600.4541557197408,570.4314479337537,630.4768635057279
Дальневосточная,2025,3,9413905.811763344,8943210.521175176,9884601.102351513,733,696,770,3815.2138169882487,3624.453126138836,4005.9745078376613,1225,1164,1286,104.9609421337564,99.71289502706858,110.20898924044423,1671,1587,1755,1385.2036484842909,1315.9434660600762,1454.4638309085055,3629,3448,3810,5305.378407606296,5040.109487225981,5570.64732798661,563.5682482585335,535.3898358456067,591.7466606714602
Дальневосточная,2025,4,9571440.007829944,9092868.007438445,10050012.008221442,666,633,699,3477.407100723645,3303.5367456874624,3651.2774557598273,1105,1050,1160,93.50821411827903,88.83280341236507,98.18362482419299,1536,1459,1613,1269.2739680356947,1205.81026963391,1332.7376664374794,3307,3142,3472,4840.189282877618,4598.179818733737,5082.198747021499,505.6908133904708,480.40627272094724,530.9753540599944
Дальневосточная,2025,5,9861105.194645133,9368049.934912875,10354160.45437739,619,588,650,3123.0270377116112,2966.8756858260303,3279.178389597192,1008,958,1058,87.3085277102327,82.94310132472106,91.67395409574434,1421,1350,1492,1184.1373625247816,1124.9304943985424,1243.3442306510208,3048,2896,3200,4394.4729279466255,4174.749281549294,4614.196574343957,445.636958657834,423.3551107249423,467.9188065907257
Дальневосточная,2025,6,9909175.039725527,9413716.28773925,10404633.791711804,595,565,625,3124.7904093593725,2968.5508888914037,3281.029929827341,966,918,1014,82.67530855596456,78.54154312816632,86.8090739837628,1324,1258,1390,1083.9650167671266,1029.7667659287702,1138.163267605483,2885,2741,3029,4291.4307346824635,4076.85919794834,4506.002271416587,433.07648895879544,411.42266451085567,454.7303134067352
