indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std,features_n
train_km,Окт,CatBoost,6.108407523604561,6.04274266697809,375.22625550418365,981310.6125106052,22
train_km,Клнг,CatBoost,11.651556819856319,12.6229617516096,356.62426176443324,289515.3244964686,22
train_km,Заб,CatBoost,10.444165784413242,10.681054194121554,383.16192579695786,1343465.82006628,22
train_km,Двост,CatBoost,14.110220055770526,14.300229999177274,386.6173921420081,1457408.123089014,22
loss_12,Окт,CatBoost,577.3298125826229,60.60355434395765,196.9074464321421,522.935571434429,22
loss_12,Клнг,CatBoost,1686840995286.085,98.30475857204624,160.92623535431156,120.09866112192267,22
loss_12,Заб,CatBoost,38789175654586.49,128.21381498146113,223.12268158432295,1707.954758746645,22
loss_12,Двост,CatBoost,33909391223851.484,107.85596061296332,220.0911121303483,1528.574355894052,22
loss_3,Окт,CatBoost,5104131905907.024,116.27912771590572,172.3770389846007,209.3226537974712,22
loss_3,Клнг,CatBoost,1002090634630.0547,130.78201568036744,154.69296723487486,89.92761402096143,22
loss_3,Заб,CatBoost,14561526524877.172,153.4393893958832,192.5574720294715,475.6302175550711,22
loss_3,Двост,CatBoost,8310128130509.6,113.63825344792895,181.5497601455202,308.3476819568278,22
loss_tech,Окт,CatBoost,13354221505846.773,103.38628297604262,206.29207108494035,748.3333558501334,22
loss_tech,Клнг,CatBoost,2078659619275.0354,106.57910541241485,171.30766931547748,199.1328805159189,22
loss_tech,Заб,CatBoost,44353591952319.6,102.78887773295705,228.43366844281056,2170.3169749685867,22
loss_tech,Двост,CatBoost,25150251758563.19,102.72098676030745,221.31661684263275,1471.9637398828363,22
loss_total,Окт,CatBoost,1773.570464562851,56.50642538701961,211.69381717852272,982.8174970723499,22
loss_total,Клнг,CatBoost,1133399897551.6711,76.26472782843251,176.5036792740221,246.17041441745047,22
loss_total,Заб,CatBoost,24052331089321.41,72.48703185469142,235.61996684787144,2932.541339394978,22
loss_total,Двост,CatBoost,222.62135541422654,69.25273556478912,228.5125784677221,2140.838869858284,22
specific,Окт,CatBoost,823.5850785745919,46.25861503127345,146.78107561326297,56.35150278596036,24
specific,Клнг,CatBoost,400859875904.3526,58.12939369510086,151.59283384443788,70.71440330496011,24
specific,Заб,CatBoost,1748301344339.2815,54.38030855531923,174.32198890716992,189.16990456955241,24
specific,Двост,CatBoost,130.31938187875448,58.94198676853214,171.73485382654735,171.62425704033208,24
train_km,Окт,CatBoost,6.108407523604561,6.04274266697809,375.22625550418365,981310.6125106052,22
train_km,Клнг,CatBoost,11.651556819856319,12.6229617516096,356.62426176443324,289515.3244964686,22
train_km,Моск,CatBoost,12.14115966616532,14.089748843370915,418.622763882286,5817262.76315565,22
train_km,Горьк,CatBoost,13.705524312161584,16.284277473875534,404.5385066956427,2985275.5963131287,22
train_km,Сев,CatBoost,9.402657961013052,9.510140700322152,370.7157487089635,695659.1402830385,22
train_km,С-Кав,CatBoost,7.802339984250454,7.730747294916383,365.2068587013831,635265.3799104147,22
train_km,Ю-Вост,CatBoost,7.3856429154961,7.164895720857141,356.9142029408089,451493.33675004874,22
train_km,Прив,CatBoost,12.699547216951384,15.144246135047798,430.347434338401,8799850.258228295,22
train_km,Кбш,CatBoost,8.578250866994734,9.44649564008085,391.9213206124078,1877067.7962212658,22
train_km,Сверд,CatBoost,10.426700532516946,12.06805925250245,401.79749770056685,2689552.9593828265,22
train_km,Ю-Ур,CatBoost,16.837743557834408,15.866506068978046,386.78998889545574,1566679.5078983135,22
train_km,З-Сиб,CatBoost,6.963116691899203,6.932899256552948,363.3624025164845,596724.4187874551,22
train_km,Крас,CatBoost,4.992913674170852,5.002046483559978,353.61168552637355,399316.49515037786,22
train_km,В-Сиб,CatBoost,7.768578958971843,7.819359490927343,374.34263192576003,928772.7746013629,22
train_km,Заб,CatBoost,10.444165784413242,10.681054194121554,383.16192579695786,1343465.82006628,22
train_km,Двост,CatBoost,14.110220055770526,14.300229999177274,386.6173921420081,1457408.123089014,22
loss_12,Окт,CatBoost,577.3298125826229,60.60355434395765,196.9074464321421,522.935571434429,22
loss_12,Клнг,CatBoost,1686840995286.085,98.30475857204624,160.92623535431156,120.09866112192267,22
loss_12,Моск,CatBoost,48.249170316700116,64.43028284352263,221.83263758567082,1317.7830053039916,22
loss_12,Горьк,CatBoost,12017075009847.404,71.09540156005417,196.34830952610315,561.5971128915999,22
loss_12,Сев,CatBoost,5975.392253674592,70.63740378945303,185.592229217665,333.5417880390415,22
loss_12,С-Кав,CatBoost,12257431057392.604,105.60458881366428,204.25326295674608,758.9671535971509,22
loss_12,Ю-Вост,CatBoost,2357213942625.438,58.52106241776597,179.4901558247721,280.6572858239871,22
loss_12,Прив,CatBoost,5688243969399.087,51.9450825856249,202.44747653688867,736.4769796112569,22
loss_12,Кбш,CatBoost,1804021105240.6345,60.25555113856642,200.3041682014624,648.879753852242,22
loss_12,Сверд,CatBoost,17396843269889.322,113.77673989971161,205.21772467701817,768.2973758213482,22
loss_12,Ю-Ур,CatBoost,4810557391112.616,71.83281637352513,221.39845372155196,1450.8609834859262,22
loss_12,З-Сиб,CatBoost,16006263165405.398,105.99111191877375,201.0146869701261,681.3258177867808,22
loss_12,Крас,CatBoost,22390555377593.86,105.24914315894559,194.94533207953066,534.3585522500007,22
loss_12,В-Сиб,CatBoost,17112173597344.803,81.67823981030713,205.6449632821691,835.9491624223447,22
loss_12,Заб,CatBoost,38789175654586.49,128.21381498146113,223.12268158432295,1707.954758746645,22
loss_12,Двост,CatBoost,33909391223851.484,107.85596061296332,220.0911121303483,1528.574355894052,22
loss_3,Окт,CatBoost,5104131905907.024,116.27912771590572,172.3770389846007,209.3226537974712,22
loss_3,Клнг,CatBoost,1002090634630.0547,130.78201568036744,154.69296723487486,89.92761402096143,22
loss_3,Моск,CatBoost,6728513283725.672,134.33420590061414,174.3920122959144,228.643827357358,22
loss_3,Горьк,CatBoost,1852655567933.8345,104.88976755556484,160.56813630735752,113.05121879656154,22
loss_3,Сев,CatBoost,1028362892139.2904,87.77711705271774,180.01568962982893,206.1893193863879,22
loss_3,С-Кав,CatBoost,4592910026069.526,161.3206371442816,180.25214033632963,280.9242172992525,22
loss_3,Ю-Вост,CatBoost,760900078521.5115,112.3469105090824,160.96213580317286,114.97294710600897,22
loss_3,Прив,CatBoost,6984568406514.592,103.16061145036224,184.3820486228885,338.99628089700497,22
loss_3,Кбш,CatBoost,1780418313802.335,140.65616745843968,181.00187839616686,238.98285907234072,22
loss_3,Сверд,CatBoost,2554501900000.552,131.29176793915732,182.35256858230088,296.9011963309154,22
loss_3,Ю-Ур,CatBoost,573223644826.118,148.8078513644972,178.0148166059209,204.25820735032664,22
loss_3,З-Сиб,CatBoost,3110997353003.8086,116.32396553693358,164.81200275620307,151.43161177225517,22
loss_3,Крас,CatBoost,3768067783733.4077,133.95490459867523,159.40071350916423,122.16056946522302,22
loss_3,В-Сиб,CatBoost,6025613913388.574,111.31214277298291,163.73026673609183,139.77664555598653,22
loss_3,Заб,CatBoost,14561526524877.172,153.4393893958832,192.5574720294715,475.6302175550711,22
loss_3,Двост,CatBoost,8310128130509.6,113.63825344792895,181.5497601455202,308.3476819568278,22
loss_tech,Окт,CatBoost,13354221505846.773,103.38628297604262,206.29207108494035,748.3333558501334,22
loss_tech,Клнг,CatBoost,2078659619275.0354,106.57910541241485,171.30766931547748,199.1328805159189,22
loss_tech,Моск,CatBoost,31377291422314.406,124.73048717829391,223.37901921656638,1756.7295930273767,22
loss_tech,Горьк,CatBoost,9713314691207.424,90.46498730816138,207.58885942171844,834.0554442173218,22
loss_tech,Сев,CatBoost,14126872442637.875,106.20189449941874,206.51840027846353,872.6781072598997,22
loss_tech,С-Кав,CatBoost,16838162942847.732,83.90780602181853,201.8820022091192,712.0544891039153,22
loss_tech,Ю-Вост,CatBoost,11997765734864.404,86.07370162141315,189.01470058580026,388.19517479681883,22
loss_tech,Прив,CatBoost,22318204966329.04,99.43786976974032,219.42490545352464,1447.2129735044964,22
loss_tech,Кбш,CatBoost,20426714043230.887,100.32925228977044,210.3738573948212,987.3081471396811,22
loss_tech,Сверд,CatBoost,26277675295887.863,99.19481234583564,226.94634744563163,1942.1988056852917,22
loss_tech,Ю-Ур,CatBoost,6184645623275.772,75.2548054911604,208.83457560754712,756.4742232808616,22
loss_tech,З-Сиб,CatBoost,5513682919260.298,75.20873243345521,208.64722583995123,926.9771747103323,22
loss_tech,Крас,CatBoost,19070398509844.637,96.6727501604257,204.12772127099356,788.3677921389611,22
loss_tech,В-Сиб,CatBoost,14476152849557.564,97.45040993149817,203.3939328871648,758.1537596943798,22
loss_tech,Заб,CatBoost,44353591952319.6,102.78887773295705,228.43366844281056,2170.3169749685867,22
loss_tech,Двост,CatBoost,25150251758563.19,102.72098676030745,221.31661684263275,1471.9637398828363,22
loss_total,Окт,CatBoost,1773.570464562851,56.50642538701961,211.69381717852272,982.8174970723499,22
loss_total,Клнг,CatBoost,1133399897551.6711,76.26472782843251,176.5036792740221,246.17041441745047,22
loss_total,Моск,CatBoost,49.499393503610015,39.06011274254804,221.84651475125995,1578.3499310223337,22
loss_total,Горьк,CatBoost,210.75486063817178,58.97820605677554,213.82463954451595,1095.2928682117138,22
loss_total,Сев,CatBoost,7806.557342196534,64.67680583468659,206.36577475651745,827.2333051761489,22
loss_total,С-Кав,CatBoost,25865612981705.74,90.42439264516835,225.54858162900808,1911.4316684369046,22
loss_total,Ю-Вост,CatBoost,5762624347032.376,40.763976760035156,196.8212844449429,576.3672230431487,22
loss_total,Прив,CatBoost,131.0290534495891,38.75874432924163,217.7086115903845,1390.5412810599137,22
loss_total,Кбш,CatBoost,9983486228922.773,53.83919226111622,215.56725378080506,1212.9564736492896,22
loss_total,Сверд,CatBoost,22212266183641.086,67.54162218117536,228.6486949973912,2050.8925346552232,22
loss_total,Ю-Ур,CatBoost,62.421022500332334,55.10845019632023,229.93367896807402,1988.0859013492,22
loss_total,З-Сиб,CatBoost,9040605182326.537,65.07430600464768,211.0689903190307,1047.6503066811113,22
loss_total,Крас,CatBoost,28808657565673.25,91.00338810722559,210.28043929212143,1016.2279786403034,22
loss_total,В-Сиб,CatBoost,13199667842940.611,55.44976940272591,215.1794155165872,1245.4040777625075,22
loss_total,Заб,CatBoost,24052331089321.41,72.48703185469142,235.61996684787144,2932.541339394978,22
loss_total,Двост,CatBoost,222.62135541422654,69.25273556478912,228.5125784677221,2140.838869858284,22
specific,Окт,CatBoost,823.5850785745919,46.25861503127345,146.78107561326297,56.35150278596036,24
specific,Клнг,CatBoost,400859875904.3526,58.12939369510086,151.59283384443788,70.71440330496011,24
specific,Моск,CatBoost,34.068241622175435,29.919762055204448,156.49330096255372,91.77964058602237,24
specific,Горьк,CatBoost,221.89358392211793,53.61236071384884,164.8587488589356,127.3538093955669,24
specific,Сев,CatBoost,5458.899589711398,54.20197123291876,158.11761121600517,97.35464121113533,24
specific,С-Кав,CatBoost,1653273709732.942,78.1998693878809,178.46570483105896,220.61105592535503,24
specific,Ю-Вост,CatBoost,850702519757.5845,33.91782397547114,152.4494619937274,77.63824093195649,24
specific,Прив,CatBoost,102.4977259237659,38.21591725619758,144.55088610879076,41.80141691348605,24
specific,Кбш,CatBoost,1057633208942.162,48.68927354733212,162.87475093397316,117.41830166834988,24
specific,Сверд,CatBoost,1654256383938.0166,66.89188986363303,174.28963590582262,185.12475522738464,24
specific,Ю-Ур,CatBoost,37.55404197278939,41.64428036528975,183.56826501243052,235.31310800782066,24
specific,З-Сиб,CatBoost,1423727776993.5503,61.36872726618997,170.46853906809565,158.46721851670682,24
specific,Крас,CatBoost,3271087454842.42,83.1098466314947,165.75624394661207,134.94795026696457,24
specific,В-Сиб,CatBoost,1512300149407.3982,46.909943088111255,160.80726505261222,109.72588555433617,24
specific,Заб,CatBoost,1748301344339.2815,54.38030855531923,174.32198890716992,189.16990456955241,24
specific,Двост,CatBoost,130.31938187875448,58.94198676853214,171.73485382654735,171.62425704033208,24
train_km,Окт,CatBoost,6.108407523604561,6.04274266697809,375.22625550418365,981310.6125106052,22
train_km,Клнг,CatBoost,11.651556819856319,12.6229617516096,356.62426176443324,289515.3244964686,22
train_km,Моск,CatBoost,12.14115966616532,14.089748843370915,418.622763882286,5817262.76315565,22
train_km,Горьк,CatBoost,13.705524312161584,16.284277473875534,404.5385066956427,2985275.5963131287,22
train_km,Сев,CatBoost,9.402657961013052,9.510140700322152,370.7157487089635,695659.1402830385,22
train_km,С-Кав,CatBoost,7.802339984250454,7.730747294916383,365.2068587013831,635265.3799104147,22
train_km,Ю-Вост,CatBoost,7.3856429154961,7.164895720857141,356.9142029408089,451493.33675004874,22
train_km,Прив,CatBoost,12.699547216951384,15.144246135047798,430.347434338401,8799850.258228295,22
train_km,Кбш,CatBoost,8.578250866994734,9.44649564008085,391.9213206124078,1877067.7962212658,22
train_km,Сверд,CatBoost,10.426700532516946,12.06805925250245,401.79749770056685,2689552.9593828265,22
train_km,Ю-Ур,CatBoost,16.837743557834408,15.866506068978046,386.78998889545574,1566679.5078983135,22
train_km,З-Сиб,CatBoost,6.963116691899203,6.932899256552948,363.3624025164845,596724.4187874551,22
train_km,Крас,CatBoost,4.992913674170852,5.002046483559978,353.61168552637355,399316.49515037786,22
train_km,В-Сиб,CatBoost,7.768578958971843,7.819359490927343,374.34263192576003,928772.7746013629,22
train_km,Заб,CatBoost,10.444165784413242,10.681054194121554,383.16192579695786,1343465.82006628,22
train_km,Двост,CatBoost,14.110220055770526,14.300229999177274,386.6173921420081,1457408.123089014,22
loss_12,Окт,CatBoost,577.3298125826229,60.60355434395765,196.9074464321421,522.935571434429,22
loss_12,Клнг,CatBoost,1686840995286.085,98.30475857204624,160.92623535431156,120.09866112192267,22
loss_12,Моск,CatBoost,48.249170316700116,64.43028284352263,221.83263758567082,1317.7830053039916,22
loss_12,Горьк,CatBoost,12017075009847.404,71.09540156005417,196.34830952610315,561.5971128915999,22
loss_12,Сев,CatBoost,5975.392253674592,70.63740378945303,185.592229217665,333.5417880390415,22
loss_12,С-Кав,CatBoost,12257431057392.604,105.60458881366428,204.25326295674608,758.9671535971509,22
loss_12,Ю-Вост,CatBoost,2357213942625.438,58.52106241776597,179.4901558247721,280.6572858239871,22
