indicator,indicator_name,road,SMAPE_ETS,SMAPE_CatBoost,Improvement_%
TRAIN_KM,Объем поездо-километровой работы,Восточно-Сибирская,9.2702,0.892,90.38
TRAIN_KM,Объем поездо-километровой работы,Горьковская,13.8625,1.2077,91.29
TRAIN_KM,Объем поездо-километровой работы,Дальневосточная,13.4734,0.7514,94.42
TRAIN_KM,Объем поездо-километровой работы,Забайкальская,9.3251,0.9344,89.98
TRAIN_KM,Объем поездо-километровой работы,Западно-Сибирская,7.529,0.8416,88.82
TRAIN_KM,Объем поездо-километровой работы,Калининградская,9.8407,25.9919,-164.13
TRAIN_KM,Объем поездо-километровой работы,Красноярская,7.9999,1.4655,81.68
TRAIN_KM,Объем поездо-километровой работы,Куйбышевская,9.492,1.0835,88.58
TRAIN_KM,Объем поездо-километровой работы,Московская,14.4369,0.8852,93.87
TRAIN_KM,Объем поездо-километровой работы,Октябрьская,11.4988,0.913,92.06
TRAIN_KM,Объем поездо-километровой работы,Приволжская,12.7431,6.3999,49.78
TRAIN_KM,Объем поездо-километровой работы,Свердловская,13.1518,0.8508,93.53
TRAIN_KM,Объем поездо-километровой работы,Северная,10.4334,1.3501,87.06
TRAIN_KM,Объем поездо-километровой работы,Северо-Кавказская,11.6547,1.0134,91.3
TRAIN_KM,Объем поездо-километровой работы,Юго-Восточная,5.1955,0.9863,81.02
TRAIN_KM,Объем поездо-километровой работы,Южно-Уральская,8.0289,1.288,83.96
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Восточно-Сибирская,79.0627,4.6074,94.17
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Горьковская,69.0935,3.3746,95.12
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Дальневосточная,106.2691,4.8128,95.47
LOSS_12,"Отказы в работе технических средств по 1, 2 категориям (количество и потери поездо-часов)",Забайкальская,134.5783,3.5312,97.38
