indicator,road,date,forecast,lower_95,upper_95
loss_3,Окт,2026-01-01,204.55847752956998,-183.16260765005364,592.2795627091937
loss_3,Окт,2026-02-01,330.7726621350956,-56.948423044528056,718.4937473147193
loss_3,Окт,2026-03-01,385.86386396097816,-1.8572212186454635,773.5849491406018
loss_3,Окт,2026-04-01,644.638430886309,256.9173457066854,1032.3595160659327
loss_3,Окт,2026-05-01,593.7359390189083,206.01485383928468,981.4570241985319
loss_3,Окт,2026-06-01,453.79676083219607,66.07567565257244,841.5178460118198
loss_3,Окт,2026-07-01,292.1778355297908,-95.54324964983283,679.8989207094144
loss_3,Окт,2026-08-01,52.21699772221865,-335.504087457405,439.9380829018423
loss_3,Окт,2026-09-01,85.19661056237584,-302.5244746172478,472.91769574199947
loss_3,Окт,2026-10-01,41.47992011071091,-346.2411650689127,429.20100529033454
loss_3,Окт,2026-11-01,41.47890798358813,-346.2421771960355,429.19999316321173
loss_3,Окт,2026-12-01,117.3069297035606,-270.414155476063,505.02801488318426
loss_3,Клнг,2026-01-01,69.80035821279662,-84.91606059695573,224.51677702254898
loss_3,Клнг,2026-02-01,141.28888245697408,-13.427536352778276,296.0053012667264
loss_3,Клнг,2026-03-01,168.3063865008121,13.58996769105974,323.0228053105644
loss_3,Клнг,2026-04-01,143.33262799782983,-11.383790811922523,298.04904680758216
loss_3,Клнг,2026-05-01,156.43729687414373,1.7208780643913713,311.15371568389605
loss_3,Клнг,2026-06-01,69.90746355765788,-84.80895525209448,224.62388236741023
loss_3,Клнг,2026-07-01,76.29309502176675,-78.42332378798561,231.0095138315191
loss_3,Клнг,2026-08-01,56.36836605703208,-98.34805275272028,211.08478486678445
loss_3,Клнг,2026-09-01,42.35959632597032,-112.35682248378203,197.07601513572268
loss_3,Клнг,2026-10-01,42.280292846576785,-112.43612596317557,196.99671165632913
loss_3,Клнг,2026-11-01,47.982783523878524,-106.73363528587383,202.69920233363086
loss_3,Клнг,2026-12-01,66.67634277238078,-88.04007603737158,221.39276158213312
loss_3,Моск,2026-01-01,323.08946580503215,-83.18962119672022,729.3685528067845
loss_3,Моск,2026-02-01,512.9837169186387,106.70462991688635,919.2628039203911
loss_3,Моск,2026-03-01,600.5062777056086,194.2271907038562,1006.7853647073609
loss_3,Моск,2026-04-01,769.4871705305843,363.20808352883193,1175.7662575323366
loss_3,Моск,2026-05-01,655.6712688635029,249.3921818617505,1061.9503558652552
loss_3,Моск,2026-06-01,384.6647162556183,-21.614370746134057,790.9438032573707
loss_3,Моск,2026-07-01,116.89479262546817,-289.3842943762842,523.1738796272206
loss_3,Моск,2026-08-01,103.38674684319918,-302.8923401585532,509.6658338449515
loss_3,Моск,2026-09-01,92.37003759929749,-313.9090494024549,498.64912460104983
loss_3,Моск,2026-10-01,115.68943221068338,-290.589654791069,521.9685192124357
loss_3,Моск,2026-11-01,101.99714207121207,-304.2819449305403,508.27622907296444
loss_3,Моск,2026-12-01,188.6394924363803,-217.63959456537208,594.9185794381326
loss_3,Горьк,2026-01-01,105.02971593725782,-102.79069961257996,312.8501314870956
loss_3,Горьк,2026-02-01,400.15233635172575,192.33192080188797,607.9727519015635
loss_3,Горьк,2026-03-01,413.0550632810911,205.23464773125335,620.8754788309288
loss_3,Горьк,2026-04-01,449.17767815587735,241.35726260603957,656.9980937057151
loss_3,Горьк,2026-05-01,374.4375572119475,166.6171416621097,582.2579727617853
loss_3,Горьк,2026-06-01,231.7310689364509,23.91065338661312,439.5514844862887
loss_3,Горьк,2026-07-01,132.03602059208555,-75.78439495775223,339.8564361419233
loss_3,Горьк,2026-08-01,82.86066940525393,-124.95974614458385,290.6810849550917
loss_3,Горьк,2026-09-01,124.37393431383121,-83.44648123600656,332.194349863669
loss_3,Горьк,2026-10-01,55.11448004814153,-152.70593550169625,262.93489559797933
loss_3,Горьк,2026-11-01,68.40430249285117,-139.4161130569866,276.22471804268895
loss_3,Горьк,2026-12-01,88.46836403897484,-119.35205151086294,296.28877958881264
loss_3,Сев,2026-01-01,328.7359283394534,-61.340633745491914,718.8124904243987
loss_3,Сев,2026-02-01,417.8886234549606,27.81206137001533,807.9651855399059
loss_3,Сев,2026-03-01,538.8785626345162,148.80200054957095,928.9551247194615
loss_3,Сев,2026-04-01,791.3515482488053,401.27498616386004,1181.4281103337507
loss_3,Сев,2026-05-01,637.2991189701445,247.2225568851992,1027.37568105509
loss_3,Сев,2026-06-01,450.4271781881518,60.350616103206505,840.503740273097
loss_3,Сев,2026-07-01,393.13675007024506,3.0601879852997627,783.2133121551904
loss_3,Сев,2026-08-01,289.5170681507947,-100.55949393415057,679.59363023574
loss_3,Сев,2026-09-01,289.4004922491645,-100.67606983578082,679.4770543341098
loss_3,Сев,2026-10-01,271.7746237998291,-118.3019382851162,661.8511858847744
loss_3,Сев,2026-11-01,265.6507949852785,-124.42576709966681,655.7273570702238
loss_3,Сев,2026-12-01,427.9592689342467,37.88270684930143,818.0358310191921
loss_3,С-Кав,2026-01-01,115.43582407225065,-593.4323420326036,824.3039901771049
loss_3,С-Кав,2026-02-01,546.4182172452919,-162.44994885956237,1255.286383350146
loss_3,С-Кав,2026-03-01,536.7725291402465,-172.0956369646077,1245.6406952451007
loss_3,С-Кав,2026-04-01,587.8443231861995,-121.02384291865474,1296.7124892910538
loss_3,С-Кав,2026-05-01,450.93536113436346,-257.9328049704908,1159.8035272392176
loss_3,С-Кав,2026-06-01,517.9608762584324,-190.9072898464218,1226.8290423632866
loss_3,С-Кав,2026-07-01,57.25083393608102,-651.6173321687733,766.1190000409352
loss_3,С-Кав,2026-08-01,20.352603520980693,-688.5155625838736,729.2207696258349
loss_3,С-Кав,2026-09-01,-27.116441543919137,-735.9846076487734,681.7517245609351
loss_3,С-Кав,2026-10-01,73.67481673066834,-635.1933493741859,782.5429828355226
loss_3,С-Кав,2026-11-01,1.7128129214575836,-707.1553531833966,710.5809790263119
loss_3,С-Кав,2026-12-01,-32.43597469244452,-741.3041407972987,676.4321914124098
loss_3,Ю-Вост,2026-01-01,114.77105048464841,-40.0561246038788,269.5982255731756
loss_3,Ю-Вост,2026-02-01,205.9839432489536,51.156768160426395,360.8111183374808
loss_3,Ю-Вост,2026-03-01,294.2168395858111,139.3896644972839,449.0440146743383
loss_3,Ю-Вост,2026-04-01,345.4027277229352,190.57555263440798,500.2299028114624
loss_3,Ю-Вост,2026-05-01,322.30289829552737,167.47572320700016,477.1300733840546
loss_3,Ю-Вост,2026-06-01,105.55912127755715,-49.26805381097006,260.38629636608437
loss_3,Ю-Вост,2026-07-01,102.6366065226716,-52.190568565855614,257.4637816111988
loss_3,Ю-Вост,2026-08-01,48.64931194706752,-106.1778631414597,203.47648703559474
loss_3,Ю-Вост,2026-09-01,15.220975701247923,-139.60619938727928,170.04815078977515
loss_3,Ю-Вост,2026-10-01,17.27938854699167,-137.54778654153554,172.10656363551888
loss_3,Ю-Вост,2026-11-01,30.953885998709083,-123.87328908981813,185.7810610872363
loss_3,Ю-Вост,2026-12-01,22.56703959680813,-132.2601354917191,177.39421468533533
loss_3,Прив,2026-01-01,268.19492871803743,-299.20098616569544,835.5908436017703
loss_3,Прив,2026-02-01,719.3632821878821,151.9673673041492,1286.7591970716148
loss_3,Прив,2026-03-01,697.7966823600036,130.40076747627074,1265.1925972437366
loss_3,Прив,2026-04-01,1012.1611578999251,444.76524301619224,1579.557072783658
loss_3,Прив,2026-05-01,781.1081934804341,213.71227859670125,1348.504108364167
loss_3,Прив,2026-06-01,594.2237665424277,26.82785165869484,1161.6196814261607
loss_3,Прив,2026-07-01,508.18728949601,-59.20862538772286,1075.583204379743
loss_3,Прив,2026-08-01,265.60708713387714,-301.7888277498557,833.00300201761
loss_3,Прив,2026-09-01,172.39856563071004,-394.99734925302283,739.794480514443
loss_3,Прив,2026-10-01,149.89391812779053,-417.50199675594234,717.2898330115233
loss_3,Прив,2026-11-01,115.10862818270982,-452.28728670102305,682.5045430664427
loss_3,Прив,2026-12-01,161.925677240295,-405.4702376434379,729.3215921240278
loss_3,Кбш,2026-01-01,230.18933477350203,-85.53590589867497,545.914575445679
loss_3,Кбш,2026-02-01,445.6328551970995,129.9076145249225,761.3580958692764
loss_3,Кбш,2026-03-01,569.176391159229,253.45115048705196,884.9016318314059
loss_3,Кбш,2026-04-01,592.4659305435383,276.7406898713613,908.1911712157153
loss_3,Кбш,2026-05-01,374.0417591902129,58.31651851803588,689.7669998623899
loss_3,Кбш,2026-06-01,389.23141105805297,73.50617038587598,704.95665173023
loss_3,Кбш,2026-07-01,255.01461405420193,-60.710626617975066,570.7398547263789
loss_3,Кбш,2026-08-01,76.74114971370406,-238.98409095847293,392.466390385881
loss_3,Кбш,2026-09-01,82.92565783085453,-232.79958284132246,398.6508985030315
loss_3,Кбш,2026-10-01,65.04091098998202,-250.68432968219497,380.766151662159
