indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
loss_total,Окт,AAA,179.48018599237443,55.12945651737208,1212.9700563253953,946.1817349990305
loss_total,Клнг,AAA,1123651827468.775,73.87269857666779,921.4766757709804,196.80292310025544
loss_total,Моск,AAA,49.535641930457295,43.24256387325055,1216.8803689019578,1743.531123616759
loss_total,Горьк,AAA,131.8523292416283,55.96329344871208,1090.7667772003983,940.2578431839836
loss_total,Сев,AAA,6681.499843094916,60.741161542480704,1162.2149042715391,812.871336786227
loss_total,С-Кав,AAA,7462601954510.077,70.40963203694214,1196.0221999081205,1004.9338710681785
loss_total,Ю-Вост,AAA,1594256478813.3489,54.538225138771836,1049.9800988901475,528.989894755153
loss_total,Прив,AAA,115.86034767011955,41.34688154026856,1266.792873410546,1456.1256384344306
loss_total,Кбш,AAA,6984517782429.115,43.63790659696537,1176.7597246622367,903.0037155054455
loss_total,Сверд,AAA,11934242642028.906,68.46330576474818,1207.7219058318694,1283.4941376003287
loss_total,Ю-Ур,AAA,36.17224592622164,45.036095079427405,1157.5433315531436,1594.4362326530165
loss_total,З-Сиб,AAA,8393484626743.457,46.08246079805561,1113.1659744775257,828.2130572318529
loss_total,Крас,AAA,22344317448503.91,80.880850958119,1082.7785685616773,691.6404578349207
loss_total,В-Сиб,AAA,8035576264108.653,52.178405605130926,1197.065451902201,970.3172195913669
loss_total,Заб,AAA,9668487849740.754,72.92966078207995,1289.2637932727744,2315.285074417495
loss_total,Двост,AAA,195.43802050486664,69.03852842748826,1309.2724713794346,2268.7953074998436
