indicator,road,date,forecast,lower_95,upper_95
loss_total,Окт,2026-01-01,2503.8905837834486,649.374383185349,4358.406784381548
loss_total,Окт,2026-02-01,3561.532761600998,1707.0165610028985,5416.048962199098
loss_total,Окт,2026-03-01,4437.4842877166075,2582.968087118508,6292.000488314707
loss_total,Окт,2026-04-01,6067.953260185438,4213.437059587339,7922.469460783537
loss_total,Окт,2026-05-01,4997.2579647157945,3142.741764117695,6851.774165313895
loss_total,Окт,2026-06-01,2969.7590731464607,1115.242872548361,4824.275273744561
loss_total,Окт,2026-07-01,2428.41110921733,573.8949086192301,4282.92730981543
loss_total,Окт,2026-08-01,1055.7715421102562,-798.7446584878435,2910.287742708356
loss_total,Окт,2026-09-01,405.3405785466716,-1449.175622051428,2259.8567791447713
loss_total,Окт,2026-10-01,225.62882796640315,-1628.8873726316965,2080.145028564503
loss_total,Окт,2026-11-01,788.4413257149313,-1066.0748748831684,2642.957526313031
loss_total,Окт,2026-12-01,901.5486781140298,-952.9675224840698,2756.0648787121295
loss_total,Клнг,2026-01-01,440.6513128501325,54.91758357363187,826.3850421266332
loss_total,Клнг,2026-02-01,921.659832190178,535.9261029136774,1307.3935614666786
loss_total,Клнг,2026-03-01,1028.2782930195986,642.5445637430979,1414.012022296099
loss_total,Клнг,2026-04-01,1234.7165038790417,848.9827746025411,1620.4502331555423
loss_total,Клнг,2026-05-01,852.5202300187574,466.78650074225675,1238.253959295258
loss_total,Клнг,2026-06-01,654.3600464279515,268.62631715145085,1040.0937757044521
loss_total,Клнг,2026-07-01,348.1606703925254,-37.57305888397525,733.894399669026
loss_total,Клнг,2026-08-01,108.79987633597426,-276.9338529405264,494.5336056124749
loss_total,Клнг,2026-09-01,138.26015455204129,-247.47357472445935,523.9938838285419
loss_total,Клнг,2026-10-01,124.66875066729858,-261.06497860920206,510.4024799437992
loss_total,Клнг,2026-11-01,120.275715363941,-265.45801391255964,506.00944464044164
loss_total,Клнг,2026-12-01,243.42673739506307,-142.30699188143757,629.1604666715637
loss_total,Моск,2026-01-01,3533.9491902530285,116.62818796418105,6951.270192541876
loss_total,Моск,2026-02-01,5745.06500133752,2327.7439990486723,9162.386003626367
loss_total,Моск,2026-03-01,6616.886196118583,3199.5651938297356,10034.20719840743
loss_total,Моск,2026-04-01,6620.419748589892,3203.0987463010447,10037.74075087874
loss_total,Моск,2026-05-01,6190.557532670904,2773.2365303820566,9607.878534959751
loss_total,Моск,2026-06-01,4599.327271248191,1182.0062689593437,8016.648273537039
loss_total,Моск,2026-07-01,2801.785590077109,-615.5354122117383,6219.106592365957
loss_total,Моск,2026-08-01,2089.8194650794494,-1327.501537209398,5507.140467368297
loss_total,Моск,2026-09-01,1738.978359276059,-1678.3426430127884,5156.299361564907
loss_total,Моск,2026-10-01,1459.0648023601916,-1958.2561999286559,4876.385804649039
loss_total,Моск,2026-11-01,1331.2637133731746,-2086.057288915673,4748.584715662022
loss_total,Моск,2026-12-01,2718.006650272734,-699.3143520161134,6135.327652561582
loss_total,Горьк,2026-01-01,2360.2370999062623,517.3317272656545,4203.14247254687
loss_total,Горьк,2026-02-01,2785.9172674132683,943.0118947726605,4628.822640053876
loss_total,Горьк,2026-03-01,3360.6848016050135,1517.7794289644057,5203.590174245621
loss_total,Горьк,2026-04-01,3896.237352192316,2053.331979551708,5739.142724832924
loss_total,Горьк,2026-05-01,3182.7218255419166,1339.8164529013088,5025.627198182525
loss_total,Горьк,2026-06-01,2257.5745514367964,414.6691787961886,4100.479924077405
loss_total,Горьк,2026-07-01,2124.8955625531094,281.9901899125016,3967.800935193717
loss_total,Горьк,2026-08-01,1561.8176049759802,-281.08776766462756,3404.7229776165877
loss_total,Горьк,2026-09-01,968.8841771583982,-874.0211954822096,2811.7895497990057
loss_total,Горьк,2026-10-01,536.5700990286814,-1306.3352736119264,2379.475471669289
loss_total,Горьк,2026-11-01,485.470077158144,-1357.4352954824637,2328.375449798752
loss_total,Горьк,2026-12-01,863.5235616907164,-979.3818109498914,2706.428934331324
loss_total,Сев,2026-01-01,1371.385206726754,-221.84261337425073,2964.6130268277584
loss_total,Сев,2026-02-01,2625.4391231461987,1032.211303045194,4218.666943247204
loss_total,Сев,2026-03-01,3444.0085847671558,1850.780764666151,5037.23640486816
loss_total,Сев,2026-04-01,3670.7824433520955,2077.5546232510906,5264.0102634531
loss_total,Сев,2026-05-01,3596.6783962010677,2003.450576100063,5189.906216302073
loss_total,Сев,2026-06-01,3226.046121958969,1632.8183018579641,4819.273942059974
loss_total,Сев,2026-07-01,1787.443082137644,194.2152620366394,3380.6709022386485
loss_total,Сев,2026-08-01,466.62183269862794,-1126.6059874023767,2059.8496527996326
loss_total,Сев,2026-09-01,253.65709733681797,-1339.5707227641867,1846.8849174378227
loss_total,Сев,2026-10-01,-93.8762065919093,-1687.104026692914,1499.3516135090954
loss_total,Сев,2026-11-01,287.5534133150825,-1305.6744067859222,1880.7812334160872
loss_total,Сев,2026-12-01,860.3307460040579,-732.8970740969468,2453.5585661050627
loss_total,С-Кав,2026-01-01,1963.9992513937464,-5.6711358998834385,3933.6696386873764
loss_total,С-Кав,2026-02-01,3614.6409456860983,1644.9705583924685,5584.311332979728
loss_total,С-Кав,2026-03-01,5090.975746603452,3121.305359309822,7060.646133897081
loss_total,С-Кав,2026-04-01,5100.764364433379,3131.0939771397498,7070.434751727009
loss_total,С-Кав,2026-05-01,4920.750863492256,2951.0804761986265,6890.421250785886
loss_total,С-Кав,2026-06-01,3351.2485067996627,1381.5781195060329,5320.918894093293
loss_total,С-Кав,2026-07-01,2647.655768930875,677.9853816372454,4617.326156224505
loss_total,С-Кав,2026-08-01,1968.3803177483835,-1.290069545246297,3938.0507050420133
loss_total,С-Кав,2026-09-01,277.0789936987089,-1692.5913935949209,2246.749380992339
loss_total,С-Кав,2026-10-01,395.0741004995248,-1574.596286794105,2364.744487793155
loss_total,С-Кав,2026-11-01,426.1707250246882,-1543.4996622689416,2395.8411123183178
loss_total,С-Кав,2026-12-01,651.3079361791276,-1318.3624511145022,2620.9783234727574
loss_total,Ю-Вост,2026-01-01,1146.545720574355,109.72552685425512,2183.3659142944553
loss_total,Ю-Вост,2026-02-01,1629.2666714992588,592.4464777791588,2666.0868652193585
loss_total,Ю-Вост,2026-03-01,2403.679521354207,1366.8593276341069,3440.4997150743066
loss_total,Ю-Вост,2026-04-01,2265.1132307574753,1228.2930370373754,3301.9334244775755
loss_total,Ю-Вост,2026-05-01,2559.3969800024865,1522.5767862823866,3596.2171737225863
loss_total,Ю-Вост,2026-06-01,1500.85733253231,464.03713881221006,2537.6775262524097
loss_total,Ю-Вост,2026-07-01,1225.2105448146992,188.39035109459928,2262.030738534799
loss_total,Ю-Вост,2026-08-01,609.2483687857869,-427.5718249343131,1646.0685625058868
loss_total,Ю-Вост,2026-09-01,195.13638200469234,-841.6838117154076,1231.9565757247924
loss_total,Ю-Вост,2026-10-01,160.67710103522904,-876.1430926848709,1197.497294755329
loss_total,Ю-Вост,2026-11-01,382.2184695720656,-654.6017241480344,1419.0386632921654
loss_total,Ю-Вост,2026-12-01,426.60391040200705,-610.2162833180929,1463.424104122107
