indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
specific,Окт,AAA,757.7913312894917,50.71820474119815,763.5539215295865,69.02752024465966
specific,Клнг,AAA,367965197111.89276,70.97642888651342,769.3428141780487,64.65150838855106
specific,Моск,AAA,50.52608594628697,43.7859811743104,810.4598267869322,134.2012317059277
specific,Горьк,AAA,138.95827159452824,58.62326823752646,749.1217139654074,124.39434213110928
specific,Сев,AAA,6223.121145408539,62.6986208885952,828.9157768166333,111.93400796956143
specific,С-Кав,AAA,2023841136238.0718,72.3968463275229,910.8420568669061,184.0217507790636
specific,Ю-Вост,AAA,529359246385.08575,52.95873361323537,775.6892284160934,102.78933476212534
specific,Прив,AAA,109.24073739906395,44.68090880319828,746.4440538499017,70.68862409388863
specific,Кбш,AAA,1064093698261.1714,44.985768583980004,817.0534521461399,109.2952244296901
specific,Сверд,AAA,1833393244139.083,72.59137986024766,838.4623566481177,158.3344862274413
specific,Ю-Ур,AAA,36.71834290284088,44.70842318291679,818.5775053844333,209.71940425462606
specific,З-Сиб,AAA,1552255021503.4617,47.84865866246753,797.1123232610548,125.29486097999988
specific,Крас,AAA,4154493221046.9946,80.35478604864007,789.6904255201068,120.81479855098249
specific,В-Сиб,AAA,1129237212999.9114,51.21109818321427,829.8194513752558,111.72601950323704
specific,Заб,AAA,2101986950590.7144,62.67423536726184,928.4590259496106,226.8618745367996
specific,Двост,AAA,190.5316180613495,69.05412543307087,931.9453823268633,256.94421928107886
