indicator,road,date,forecast,lower_95,upper_95
train_km,Окт,2026-01-01,14883172.046926199,12688752.489911802,17077591.603940595
train_km,Окт,2026-02-01,17115004.250629567,14920584.69361517,19309423.807643965
train_km,Окт,2026-03-01,16471826.720114999,14277407.163100602,18666246.277129397
train_km,Окт,2026-04-01,15869896.534529353,13675476.977514956,18064316.09154375
train_km,Окт,2026-05-01,14775415.439368075,12580995.882353678,16969834.99638247
train_km,Окт,2026-06-01,14677635.531989455,12483215.974975059,16872055.089003853
train_km,Окт,2026-07-01,13977814.870712008,11783395.313697612,16172234.427726405
train_km,Окт,2026-08-01,16131270.017904727,13936850.46089033,18325689.574919123
train_km,Окт,2026-09-01,13695542.257302001,11501122.700287605,15889961.814316398
train_km,Окт,2026-10-01,12654173.980497554,10459754.423483158,14848593.53751195
train_km,Окт,2026-11-01,13836095.83458508,11641676.277570684,16030515.391599476
train_km,Окт,2026-12-01,13919399.299394831,11724979.742380435,16113818.856409227
train_km,Клнг,2026-01-01,3175099.9467143132,2340500.4343367214,4009699.459091905
train_km,Клнг,2026-02-01,3430324.5149652553,2595725.0025876635,4264924.027342848
train_km,Клнг,2026-03-01,3374886.1956700548,2540286.683292463,4209485.708047647
train_km,Клнг,2026-04-01,3430785.154599161,2596185.642221569,4265384.666976753
train_km,Клнг,2026-05-01,3560591.6492133043,2725992.1368357125,4395191.161590897
train_km,Клнг,2026-06-01,4259576.762110597,3424977.2497330057,5094176.274488189
train_km,Клнг,2026-07-01,3190730.2417491325,2356130.7293715407,4025329.7541267243
train_km,Клнг,2026-08-01,2996349.9667131067,2161750.454335515,3830949.4790906985
train_km,Клнг,2026-09-01,3061960.8813629025,2227361.3689853107,3896560.3937404943
train_km,Клнг,2026-10-01,2809106.6245705048,1974507.112192913,3643706.1369480966
train_km,Клнг,2026-11-01,3068035.2810656168,2233435.768688025,3902634.7934432086
train_km,Клнг,2026-12-01,3222876.309428516,2388276.797050924,4057475.8218061076
train_km,Моск,2026-01-01,13977460.462481493,2397866.143777024,25557054.781185962
train_km,Моск,2026-02-01,15071429.82873909,3491835.5100346208,26651024.14744356
train_km,Моск,2026-03-01,15758773.960925438,4179179.6422209684,27338368.27962991
train_km,Моск,2026-04-01,15811949.392323382,4232355.073618913,27391543.711027853
train_km,Моск,2026-05-01,15543690.190430349,3964095.8717258796,27123284.509134818
train_km,Моск,2026-06-01,18355975.513272926,6776381.194568457,29935569.831977397
