,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2022-01-01,27.500000,11.124632,141.363068,177.924057,25.000000,72.214956,128.093318,452.085557,25.000000,32.500000,387.758910,20.000000,77.112011,267.739839,613.121168,343.228314
2022-02-01,13.503585,3.600741,610.853429,214.283845,433.365623,677.890570,86.160454,544.726960,436.912699,13.463715,22.500000,227.608743,204.366248,8.632198,344.910146,37.500000
2022-03-01,27.500000,148.577349,330.383951,179.595821,238.606000,614.075573,332.153121,864.048552,719.869472,443.612281,253.933242,393.529113,338.328789,373.472952,497.893851,989.145317
2022-04-01,222.489467,118.184164,739.150495,715.965228,396.125405,344.724445,209.965538,1319.142838,428.880541,321.038817,552.896485,434.466584,613.901008,660.955455,56.323758,674.621507
2022-05-01,342.377899,56.336600,582.466126,425.112543,373.562263,442.220140,349.832979,1039.010539,362.146308,376.866358,74.928619,75.391692,303.356360,127.730157,1459.172990,776.956021
2022-06-01,157.293672,130.376256,464.829223,7.259879,173.647105,443.600931,128.342428,1081.637966,260.736953,190.199938,485.373228,251.483804,175.850982,361.169714,613.216231,397.529418
2022-07-01,27.500000,5.000000,37.500000,22.500000,186.021551,30.000000,183.434989,206.573931,316.863472,351.517947,250.533276,244.280487,12.179558,85.534642,40.000000,37.500000
2022-08-01,27.500000,5.000000,37.500000,87.016415,25.000000,247.461520,109.288168,599.799570,162.723134,32.500000,22.500000,20.000000,18.750000,30.000000,357.681089,37.500000
2022-09-01,27.500000,5.000000,37.500000,22.500000,25.000000,30.000000,275.095516,55.000000,25.000000,32.500000,22.500000,20.000000,18.750000,30.000000,40.000000,37.500000
2022-10-01,27.500000,5.000000,37.500000,22.500000,25.000000,21.488146,17.500000,55.000000,25.000000,32.500000,22.500000,20.000000,18.750000,30.000000,40.000000,37.500000
