,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2022-01-01,2322.264044,52.500000,896.052194,967.119467,1222.344989,225.000000,858.200809,1993.406787,1236.979760,1087.910905,789.607161,697.393717,808.822347,1342.103421,500.000000,1546.436187
2022-02-01,1832.126422,52.500000,450.000000,1408.898723,3133.813702,1830.955399,74.005400,2800.562496,2005.565391,1422.836763,1459.518222,1543.866994,1712.510260,1217.046958,2419.137546,2049.392848
2022-03-01,1376.289365,339.884918,2372.206995,1036.198435,1931.950820,3712.045019,866.853472,3626.285146,3903.085813,1788.046018,2571.364349,1650.561383,1946.224995,2625.083542,3634.000246,2390.753496
2022-04-01,2833.809794,685.033307,3682.348000,1130.681154,1688.431637,836.810063,1232.699292,4504.686269,1708.882463,3460.163397,2844.574695,1900.600772,1102.490979,1213.658041,1228.340815,658.054609
2022-05-01,2433.800877,847.474744,2379.612465,2127.848269,1177.224290,2059.568576,1497.559544,3666.467533,555.862534,4013.573182,1690.873278,1000.285480,1450.500556,2270.739091,3323.968448,2350.586564
2022-06-01,1272.721477,227.921338,3692.271035,1224.742361,1226.434495,816.549373,684.917477,2282.955815,2780.845243,1276.396368,1178.813196,890.011930,1609.878006,21.090036,4507.771320,1830.577766
2022-07-01,1273.238543,376.332328,3210.989269,386.596076,325.206777,1194.965152,162.500000,2501.272276,369.759486,2193.323969,909.605686,473.912763,1341.530079,1449.879298,1078.630160,1839.053049
2022-08-01,261.134429,52.500000,2073.769483,231.654552,624.379927,128.233000,472.315673,650.000000,195.104136,541.461624,683.486936,225.522813,6.988823,287.500000,964.381347,3634.854082
2022-09-01,268.351793,52.500000,476.811138,250.000000,186.130827,225.000000,162.500000,982.899544,300.000000,337.500000,702.970510,893.944795,466.045127,301.704094,95.197206,462.500000
2022-10-01,598.834274,6.002940,450.000000,250.000000,262.500000,225.000000,162.500000,650.000000,300.000000,1215.042855,275.000000,237.500000,150.255580,922.971660,500.000000,462.500000
2022-11-01,1588.601317,52.500000,450.000000,656.364995,103.764433,1257.080274,162.500000,1535.962223,300.000000,23.767826,508.611671,237.500000,225.000000,681.710092,500.000000,462.500000
2022-12-01,350.000000,406.410196,644.419807,432.355933,1143.245103,225.000000,187.499458,2702.361316,1017.195120,772.977995,1686.435146,660.404079,805.711879,1327.900502,1699.406821,726.601628
2023-01-01,3115.146704,52.500000,639.674017,2265.888400,632.827296,1405.448815,339.589367,3697.604174,1088.591637,1377.196540,1204.666729,1616.902726,847.723765,1754.427244,500.000000,2519.900069
2023-02-01,36.037647,831.785888,2141.119525,1499.274074,916.367098,243.054338,78.468547,3687.574251,1027.030872,338.210570,1654.073666,475.689556,205.360167,1101.835413,2921.500316,3840.269008
2023-03-01,2093.040566,724.483406,4436.813908,1676.001325,773.167361,1021.373619,1383.171745,4590.547639,2769.117192,2534.153059,736.871160,2725.724713,1293.075865,2252.689859,6274.628049,4801.338686
2023-04-01,2917.402153,424.607090,1379.015137,1098.977055,580.055173,2480.832317,1594.956264,3717.956794,2321.705734,1939.827178,90.738904,1953.522628,1582.546648,809.391506,3293.269817,5319.352274
2023-05-01,2477.539832,383.552819,4632.605162,1392.408588,2206.049887,3216.537451,1295.564606,4946.427007,491.414344,990.545199,2068.305081,2159.372733,1118.991860,1351.003245,2464.074437,3024.458735
2023-06-01,1222.487099,198.320890,3203.684755,774.050028,1216.789086,1724.385347,448.893349,4379.502041,2179.304318,1325.826628,1362.206371,2106.659648,1833.650634,2439.691755,4196.970716,5947.274294
2023-07-01,993.106641,196.585208,1784.258475,250.000000,1385.064015,471.914439,475.727963,650.000000,1159.352640,665.900017,566.402128,1383.487252,1452.332670,694.307572,1981.468836,991.453699
2023-08-01,134.215825,52.500000,49.508444,1023.515667,1427.110434,102.362265,243.134206,1752.937460,1571.960990,1413.144285,595.387810,307.095308,195.255413,287.500000,1905.346774,630.861589
2023-09-01,350.000000,8.842220,450.000000,250.000000,599.638132,225.000000,234.546127,2501.393904,153.797664,337.500000,14.775319,841.413960,225.000000,1505.397172,500.000000,1770.817427
2023-10-01,737.558554,52.500000,450.000000,250.000000,262.500000,225.000000,177.669171,650.000000,300.000000,337.500000,710.696175,148.176529,225.000000,354.408532,500.000000,255.863378
