,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2022-01-01,3678.435017,325.827259,1242.432701,1513.919546,2281.823567,2648.611039,1819.941708,3964.858995,1534.854395,1525.278876,1845.701991,1289.626901,1837.301638,1884.843260,1563.121168,2831.407140
2022-02-01,2308.639247,295.276402,1710.042462,2719.321116,4981.266698,3861.152175,1160.267639,6039.284202,3278.006410,4155.883600,3919.277582,3501.288194,1970.072179,2594.124904,7516.194492,6824.377606
2022-03-01,3410.226737,841.058478,4335.899911,3521.745499,3542.924663,7279.382211,2351.423425,7858.903932,5486.188160,3767.936279,3807.681045,3386.021008,3079.782011,5382.096261,8179.537976,7939.501659
2022-04-01,4742.749892,897.838571,7353.100721,3378.952329,4656.734825,2729.419420,2046.544783,8950.171069,4499.578131,5035.319572,5384.959549,2728.409488,3474.830541,3592.939452,5829.818058,4778.363424
2022-05-01,4178.679232,1173.485685,4891.809986,4070.542112,2591.184411,4750.644707,3156.988421,8390.148699,2084.080724,6192.075201,3431.151262,2449.593541,2671.913977,4544.996966,6568.191861,3156.329461
2022-06-01,3311.187589,773.056071,5465.624416,2761.691904,2835.112692,3297.001005,1703.968397,5316.321965,3702.786340,4486.630743,2459.669994,2147.866606,2915.656608,1971.959030,7610.673801,4121.711861
2022-07-01,3031.838257,653.493013,3913.999811,988.499783,749.034500,1653.617800,746.818514,3409.441138,2134.442433,2857.341915,1781.568741,2208.639574,1573.416425,2668.743413,2949.363139,6850.905549
2022-08-01,1558.235834,151.309067,2243.339445,349.853115,886.879927,588.194520,885.620381,3252.053039,1071.016149,886.461624,1152.380235,258.117805,715.462598,632.377680,1513.456509,3930.410582
2022-09-01,620.851793,102.500000,914.311138,586.405935,448.630827,905.538695,587.595516,2459.361066,968.194437,1619.676774,975.470510,923.532344,1015.636453,606.704094,585.197206,1830.753784
2022-10-01,748.306848,60.196592,887.500000,540.744865,1126.862168,458.988146,312.262510,1305.000000,913.066601,2613.767828,547.500000,892.437719,532.186209,1227.971660,4235.329739,2027.441789
2022-11-01,2227.872386,102.500000,916.086203,903.864995,446.465811,1499.580274,330.000000,3611.326667,1644.966741,182.007232,781.111671,592.266057,813.439546,1283.565404,1601.068049,819.557795
2022-12-01,1666.993743,461.852752,2019.131072,1065.301365,1621.953859,473.253241,354.999458,3241.134708,1433.987927,1096.489422,2963.797128,1135.748508,1843.771937,1844.575456,2950.337081,1163.581059
2023-01-01,4471.686193,246.145673,1918.459547,3510.289611,1629.490309,2185.596509,448.245519,7026.759353,1471.882011,4143.449973,2768.212739,2122.644503,1259.442712,2625.653230,4107.482349,2982.400069
2023-02-01,1742.162191,1212.351555,3900.840924,2380.776218,2183.939550,2574.709260,1236.775059,7872.230391,3150.619930,3354.636709,3150.213853,2014.648578,1154.402039,2344.324190,6508.413633,7165.475397
2023-03-01,3726.664366,1241.254151,8842.497475,3355.867723,2375.904320,3692.724128,2420.355591,8178.475261,4652.617991,5101.710753,3831.756466,4515.687179,3117.934614,4733.199975,9247.803661,7332.285397
2023-04-01,4185.644051,665.709718,3960.669777,3181.803456,1845.980242,5242.218156,3479.511150,8932.463336,3709.417115,4240.630757,2671.381279,3461.324845,3648.651125,3900.087509,9842.072944,8823.764528
2023-05-01,5099.769580,866.325487,7843.290965,3241.829406,4646.462319,5731.775362,2351.345884,8285.622052,2283.708977,3884.456175,4325.225691,3608.255750,2523.476969,3137.641737,7634.461268,5535.172049
2023-06-01,3852.026933,509.207277,7149.725233,2322.093498,2769.677594,2691.864556,691.147586,8255.814978,4449.166359,3074.989939,3267.660402,3194.027244,2576.806637,3587.802767,6497.671372,8462.826849
2023-07-01,2103.595858,273.030600,2067.577905,924.672461,3357.079481,1700.511438,661.937298,2428.725022,1607.672402,1980.829264,838.902128,1707.180675,1923.113941,2090.831970,4722.532505,3138.333913
2023-08-01,1541.392936,167.145793,981.490852,1070.407126,2388.751135,1578.571791,884.377692,2078.906345,2835.010509,3010.511959,1268.682742,1151.910500,426.505413,664.240668,2097.616726,1545.449911
2023-09-01,1053.797700,81.196303,599.826041,326.942839,1061.680892,507.918514,259.404772,2970.290929,608.769786,1143.079732,287.275319,1391.075340,456.250000,1573.811828,630.874825,2322.235864
2023-10-01,1090.058554,129.309278,887.500000,497.500000,525.000000,279.134135,345.169171,1305.000000,600.000000,682.500000,983.196175,641.730034,456.250000,1367.288849,946.767367,1839.955564
2023-11-01,1063.608655,399.166876,2818.799076,490.761170,454.491119,661.766731,295.992766,734.974857,696.278532,1388.955187,386.168871,879.392923,259.172066,852.339778,3582.745581,925.000000
2023-12-01,1977.314930,64.476751,2804.935546,1651.683094,655.564110,611.813622,689.149932,1559.184092,1353.854273,1192.564365,575.100433,1398.659002,535.583565,958.010204,4753.743626,1022.091290
2024-01-01,3126.996732,276.983804,1114.870372,887.590716,758.640091,715.030084,1773.086697,2353.162868,682.368686,2511.643604,2805.355606,1016.696004,1200.298911,1395.652171,6590.676254,4268.468311
2024-02-01,4486.605762,868.630216,3965.205817,2578.346701,3026.500252,3356.470867,2702.196340,5909.595663,3197.510826,3391.530473,2848.379806,3438.219398,3033.609729,3386.513477,6729.820103,2882.468788
2024-03-01,3779.848695,672.699736,5589.290849,3092.973557,3765.271546,2112.140966,2458.005204,7993.113852,3436.858795,4907.598055,4015.284612,2234.283146,2759.769533,4052.736163,8391.636931,8549.498443
2024-04-01,5887.703983,835.235473,4385.381382,2567.447461,2046.805652,3183.513445,2338.972853,9360.941478,3755.392474,4558.419814,3637.910752,3510.894285,2911.050609,2679.317611,7333.532804,10251.446217
2024-05-01,3246.933539,613.698519,3730.360418,3580.434470,2913.782118,5410.760490,2287.887167,9981.620746,2834.619759,4309.779083,3620.033273,2672.222760,2679.092231,3138.948771,8670.594530,8332.942643
2024-06-01,2688.847428,299.854632,4609.948502,1207.413301,2320.076740,2584.083685,2185.258343,5057.191853,3166.382460,3149.875192,3056.050549,3192.004447,2550.426398,2960.275815,6729.522938,4449.475155
2024-07-01,3110.357054,162.771880,5029.900644,1191.197983,2528.215613,1358.107758,1169.434807,4035.421536,3477.061578,2053.578181,1337.711277,2215.407049,1741.022064,2600.631520,1864.186536,3577.012798
2024-08-01,1518.356633,254.362101,698.249405,1034.782200,187.073531,365.870328,330.000000,2632.959675,1372.814110,2660.731189,849.267351,485.278364,638.662340,1401.462006,1844.125714,2275.426083
2024-09-01,359.417958,135.661370,450.202891,762.593586,678.077796,530.773083,688.104577,706.382515,763.590450,682.500000,540.891228,614.299457,456.250000,1769.066179,1317.526347,2548.847321
2024-10-01,557.778855,90.181090,887.500000,409.440862,353.226659,385.400210,254.587107,1412.260331,540.435626,373.236906,685.684775,482.500000,791.491557,1214.676472,646.799029,4231.763234
2024-11-01,2720.845313,261.611377,2857.595624,86.198427,1134.742646,467.500000,249.826397,1166.925799,1201.625385,976.521317,555.286145,876.281632,331.196184,592.500000,990.000000,2526.989481
2024-12-01,614.472637,297.222148,2334.971943,1421.792396,2094.666767,1361.437961,106.666906,826.965346,1193.418204,1258.992127,1437.041999,348.985619,1321.430365,858.054740,4248.294608,3651.923791
2025-01-01,2232.708148,708.352699,1692.976270,2048.891707,2935.653409,4267.637182,1184.341139,4059.881948,1412.462866,1712.858438,742.730680,1308.787685,1862.662240,1858.720157,1077.310932,5955.669404
2025-02-01,2838.634587,680.649591,3144.626933,3040.294493,1798.721108,2243.587658,1738.491097,6390.332889,3474.710257,3184.941023,3157.929977,2786.489826,2425.656927,3150.979651,3141.316800,5708.585463
