road,indicator,table_value_year,synthetic_year_mean,relative_diff_pct
Окт,train_km,160000000.000000,158768215.825373,-0.769865
Окт,loss_12,13000.000000,13541.860931,4.168161
Окт,loss_3,1100.000000,1690.369818,53.669983
Окт,loss_tech,14000.000000,16612.073822,18.657670
Окт,loss_total,28100.000000,31844.304571,13.324927
Окт,specific,175.625000,200.726548,14.292696
Клнг,train_km,25000000.000000,25325679.360452,1.302717
Клнг,loss_12,1800.000000,1999.626257,11.090348
Клнг,loss_3,200.000000,578.843727,189.421863
Клнг,loss_tech,2100.000000,2928.445398,39.449781
Клнг,loss_total,4100.000000,5506.915381,34.315009
Клнг,specific,164.000000,218.010799,32.933414
Заб,train_km,110000000.000000,108375350.212494,-1.476954
Заб,loss_12,18000.000000,26491.335449,47.174086
Заб,loss_3,1600.000000,4440.533216,177.533326
Заб,loss_tech,20000.000000,23404.249906,17.021250
Заб,loss_total,39600.000000,54336.118571,37.212421
Заб,specific,360.000000,501.665542,39.351540
Двост,train_km,105000000.000000,104554406.239467,-0.424375
Двост,loss_12,17000.000000,19858.463487,16.814491
Двост,loss_3,1500.000000,3834.708941,155.647263
Двост,loss_tech,18500.000000,26617.725968,43.879600
Двост,loss_total,37000.000000,50310.898396,35.975401
Двост,specific,352.380952,480.762224,36.432523
