,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2022-01-01,263.246334,203.276728,98.379474,224.702997,337.243858,560.292998,382.556999,222.753540,187.982865,181.198856,272.822070,201.038377,292.331330,234.680821,160.480714,325.042913
2022-02-01,163.279327,133.483683,129.121690,312.527233,685.618436,717.966918,223.304743,307.680580,351.625027,487.608104,521.018043,551.581679,341.207097,343.359224,763.276556,790.894488
2022-03-01,229.158244,355.202654,345.757717,424.353761,458.172100,1179.248871,398.486934,403.152922,622.595360,369.199362,487.379088,491.132197,455.427513,670.651887,873.064296,766.874331
2022-04-01,307.242270,360.285253,521.318871,407.472999,524.787898,419.111621,324.823858,454.926054,524.139118,594.346392,623.800624,450.135972,569.008328,443.255765,629.154455,488.218060
2022-05-01,290.039385,486.866237,405.923729,481.464078,323.903886,716.748431,576.002073,440.105012,244.035070,601.007389,422.251912,372.368318,416.797865,618.993266,608.819233,333.234488
2022-06-01,236.098571,315.329513,400.752769,365.424943,400.979778,671.753117,336.805386,262.145019,379.759524,443.830077,335.119736,305.286287,505.132637,252.143258,814.454150,407.080191
2022-07-01,210.330978,303.884479,346.199388,130.511740,102.912428,312.771409,148.684166,201.365902,261.411825,330.649320,219.034210,372.227256,301.350307,333.429774,298.432536,773.148760
2022-08-01,115.492883,82.317141,195.711838,44.755867,143.768114,134.557201,181.586381,177.555477,149.436271,130.230476,157.963003,41.444130,128.581466,95.065073,213.227745,454.602641
2022-09-01,49.704312,58.765517,76.713817,82.352036,65.475602,201.416560,135.704804,148.292926,145.230246,207.162864,148.154675,169.697684,186.692653,80.264001,61.656686,261.416423
2022-10-01,58.250859,36.122165,80.042276,79.711471,156.820904,81.272824,63.778281,90.307083,128.116463,332.037472,92.289156,148.824840,113.708361,170.874682,500.582005,311.979088
2022-11-01,178.793361,56.122216,78.109090,131.008731,61.344390,315.739352,73.466522,218.617445,221.006032,24.527729,119.477192,104.913288,159.329802,192.414583,196.848651,104.215928
2022-12-01,130.144394,277.926394,167.973082,159.487575,228.260887,87.881176,74.681863,218.749640,172.691533,136.329221,429.487943,194.258233,316.105953,255.302140,293.135566,146.225866
2023-01-01,327.692538,117.011572,146.676213,468.793591,237.565121,343.201395,88.721480,378.280871,170.153097,426.454875,367.247473,336.901464,213.614217,310.851029,406.805900,320.390260
2023-02-01,133.481700,558.095660,288.643716,326.579672,317.298059,402.041029,236.598790,396.215351,365.671115,347.893693,392.961397,333.612995,198.322194,280.222429,684.435961,767.298731
2023-03-01,276.146720,526.248454,686.310334,388.348586,335.053204,620.794688,437.371912,426.932602,536.021906,565.959533,457.387664,628.733006,524.050811,572.926547,879.716514,733.170564
2023-04-01,294.891253,276.956544,287.062764,426.450471,281.877718,926.596125,674.020290,442.780986,404.121387,485.928746,361.656941,468.213335,527.817087,473.676141,1111.409631,1014.949808
2023-05-01,369.068646,475.627208,647.324353,378.451771,578.869575,930.140644,460.023937,380.606180,284.658964,414.808238,533.867782,543.056027,446.707853,378.088846,670.461585,488.218901
2023-06-01,273.216839,251.337354,563.104990,279.136436,373.840028,483.577421,145.073493,443.600585,463.952267,337.947775,426.689297,471.378314,434.406944,462.945186,673.777642,914.790780
2023-07-01,162.176996,133.924469,162.774418,114.860116,446.966135,366.437726,133.070099,142.104727,188.666940,218.378207,98.039734,259.634841,372.466276,316.546907,636.131469,336.169517
2023-08-01,126.321096,87.810345,84.505454,149.634175,323.199581,310.994754,183.309167,111.379947,344.780144,376.428807,181.177088,194.423577,72.790545,79.738330,282.202792,205.960395
2023-09-01,79.481120,43.634684,52.681398,45.481913,162.492070,106.673368,57.093778,161.015788,87.538996,137.852319,44.779808,262.673423,87.846937,220.660470,72.006287,291.201228
2023-10-01,88.896478,70.530295,82.520710,74.851223,81.302709,51.739653,71.318188,80.289432,74.808388,75.652531,148.042001,101.960912,88.024870,190.920169,102.511087,282.192070
2023-11-01,84.911587,188.239879,237.934551,77.422379,72.449976,148.624379,67.253630,41.848517,96.020701,164.060268,57.766831,157.678509,42.059970,121.260547,448.818589,114.481278
2023-12-01,163.019807,32.339571,245.375232,214.104554,99.640979,119.834754,144.029321,83.565879,185.640359,144.147368,94.823883,245.052204,103.299097,137.877418,626.634228,129.909452
2024-01-01,239.565048,136.930082,94.855529,118.993350,102.387790,140.610742,393.582849,133.645365,83.781932,290.765910,373.280761,147.256188,191.196317,184.255755,835.886064,486.665163
2024-02-01,323.620328,452.468450,298.328780,351.755236,411.776329,532.181724,544.281523,312.709655,374.947514,377.686677,376.591373,506.344758,522.818875,469.080668,604.665683,291.132608
2024-03-01,278.294386,323.438277,461.234212,386.830695,499.527623,343.995184,449.292045,373.866529,413.694664,479.848495,504.273856,325.396650,455.626710,430.428076,779.388017,972.561930
2024-04-01,407.091575,333.425334,322.338614,316.402938,263.647281,554.704025,419.003264,422.901985,441.722639,492.321604,473.775078,544.076214,408.041936,345.484631,715.731423,1092.333322
2024-05-01,234.875889,238.423936,301.923308,428.345729,360.911416,872.618348,442.475227,480.387595,339.460333,451.862709,484.247103,377.459950,440.705478,404.274412,881.367787,822.390200
