ROAD_NAME,YEAR,MONTH,TRAIN_KM,LOSS_12_COUNT,LOSS_12_SUM,LOSS_3_COUNT,LOSS_3_SUM,LOSS_TECH_COUNT,LOSS_TECH_SUM,LOSS_COUNT_TOTAL,LOSS_SUM_TOTAL,SPECIFIC_LOSS
Восточно-Сибирская,2018,1,9170555.528035324,795,1512.3955255298474,2081,114.97336356862482,558,505.4470345622965,3434,2132.815923660769,232.57216175623526
Восточно-Сибирская,2018,2,8621241.049380368,693,1846.3992349068053,1900,105.60834672656543,562,639.01053431158,3155,2591.0181159449508,300.5388784635797
Восточно-Сибирская,2018,3,9302740.98433022,645,1563.102557816881,1766,95.6913077591416,521,576.3924122059651,2932,2235.186277781988,240.27179532860197
Восточно-Сибирская,2018,4,9544369.92690254,579,1458.8477687086338,1634,114.45473484058607,514,621.9676195448698,2727,2195.2701230940897,230.00681447879782
Восточно-Сибирская,2018,5,9827966.39830878,517,1458.4677739790593,1296,85.66324807596409,454,500.57203517785115,2267,2044.7030572328745,208.04945543818016
Восточно-Сибирская,2018,6,9568708.33492929,501,1446.9000410754193,1333,67.1977871756057,425,423.46900171256704,2259,1937.566829963592,202.489903772149
Восточно-Сибирская,2018,7,9808219.779443458,515,1359.2966186478143,1226,81.64872842331242,417,424.7577116632876,2158,1865.7030587344143,190.21831695132335
Восточно-Сибирская,2018,8,9977134.822194153,547,1504.140460357441,1287,92.33811084353982,432,519.4014173692224,2266,2115.8799885702033,212.0729073304116
Восточно-Сибирская,2018,9,9697550.827625936,545,1126.9086191279534,1425,90.21337555615584,470,614.8678797215094,2440,1831.9898744056186,188.9126344341223
Восточно-Сибирская,2018,10,9508818.082650607,576,1469.9682155220023,1520,107.19540626582528,570,540.7177134688267,2666,2117.8813352566544,222.72813685655132
Восточно-Сибирская,2018,11,9384913.153435066,602,2010.0727988985611,1877,105.75731540015758,528,560.1733414078096,3007,2676.0034557065283,285.1388619112642
Восточно-Сибирская,2018,12,9321851.156669777,743,1513.0923478492111,1825,133.2200118200897,610,772.2980799923073,3178,2418.6104396616083,259.45602423946605
Восточно-Сибирская,2019,1,9150987.851732582,651,1854.4553034385933,1900,106.55545408764341,586,778.5910432474276,3137,2739.6018007736643,299.3777114735179
Восточно-Сибирская,2019,2,8650832.824007496,743,1750.8574798438415,1834,119.2076173890171,575,690.630648071685,3152,2560.6957453045434,296.00569071201886
Восточно-Сибирская,2019,3,8967572.962750617,646,1258.9382559137523,1651,111.85495830528527,565,529.8093559860251,2862,1900.6025702050626,211.94169014289147
Восточно-Сибирская,2019,4,9181992.100161314,545,1572.9684001990142,1329,95.07437152435071,512,540.0882404382613,2386,2208.131012161626,240.48496100566592
Восточно-Сибирская,2019,5,9705054.018721825,545,1355.1678286427873,1243,89.50857802895098,440,487.4463497555945,2228,1932.1227564273327,199.08418363258087
Восточно-Сибирская,2019,6,9698381.467858322,563,1348.0258812406532,1411,71.37264172609282,447,483.0258155076888,2421,1902.4243384744348,196.15895134454266
Восточно-Сибирская,2019,7,9902869.007803354,466,1273.8731465069131,1407,79.73789576626884,397,576.0942895014732,2270,1929.7053317746552,194.86325934979732
Восточно-Сибирская,2019,8,9659141.174181469,503,1400.089098336114,1384,81.84001135349374,436,475.37578634114595,2323,1957.3048960307538,202.63757002150027
Восточно-Сибирская,2019,9,9560818.47894315,641,1432.393936386674,1531,87.27134833259919,467,504.0925282142591,2639,2023.7578129335325,211.67202550604623
Восточно-Сибирская,2019,10,9405321.771259038,587,1527.17739253966,1729,86.39963303079308,501,525.1472565353073,2817,2138.7242821057603,227.39512098791928
Восточно-Сибирская,2019,11,9644640.793627314,608,1849.6372612753507,1877,106.38152889615189,523,551.3197128130204,3008,2507.338502984523,259.9722018306005
Восточно-Сибирская,2019,12,9370875.486059394,631,1952.1700515135012,1901,120.17822085213997,629,617.5360942928411,3161,2689.884366658482,287.04728503330296
Восточно-Сибирская,2020,1,8885490.346535377,743,1763.2862940097205,1564,126.66827865234015,578,707.2957119609216,2885,2597.2502846229822,292.3024147604527
Восточно-Сибирская,2020,2,8918154.814028898,674,1982.8731942019974,1876,132.090843705375,553,649.9966025148408,3103,2764.960640422213,310.037300100771
Восточно-Сибирская,2020,3,9298255.119595952,605,1836.2094033376654,1643,125.62084696741451,608,608.9916607772534,2856,2570.8219110823334,276.4843379769565
