,Окт,Клнг,Моск,Горьк,Сев,С-Кав,Ю-Вост,Прив,Кбш,Сверд,Ю-Ур,З-Сиб,Крас,В-Сиб,Заб,Двост
2022-01-01,13973357.076506,1602875.363254,12628983.000745,6737424.819518,6766093.768338,4727189.249839,4757308.618414,17799308.595642,8164863.282039,8417706.977190,6765222.436347,6414829.454379,6284997.358931,8031518.094701,9740243.075367,8710871.783225
2022-02-01,14139201.182748,2212078.625094,13243649.909893,8701069.323359,7265362.826541,5377897.053492,5195893.395209,19628421.807418,9322449.077752,8522999.440580,7522345.213720,6347723.881692,5773831.195660,7555133.867651,9847275.450772,8628682.729562
2022-03-01,14881536.339501,2367827.123201,12540283.829858,8299079.271214,7732737.678137,6172897.334756,5900879.615494,19493605.307332,8811803.800598,10205695.526551,7812565.491301,6894316.910636,6762397.792110,8025171.274971,9368769.302200,10353067.423230
2022-04-01,15436514.928204,2492021.430669,14104804.421808,8292457.024066,8873556.043133,6512392.602664,6300475.566802,19673903.043285,8584701.992542,8472028.501562,8632501.064191,6061300.707112,6106818.422385,8105792.945808,9266115.834425,9787354.902975
2022-05-01,14407282.049756,2410283.557775,12051056.967665,8454508.441661,7999855.902397,6628050.372756,5480862.952966,19063969.905188,8540086.988876,10302827.069396,8125839.500850,6578415.574830,6410575.003086,7342562.863001,10788410.589915,9471797.108844
2022-06-01,14024598.188192,2451581.725086,13638394.641831,7557480.564305,7070463.018246,4908054.643216,5059207.681051,20280080.025499,9750344.917263,10108892.971691,7339675.144096,7035581.680278,5772061.425944,7820788.237483,9344508.590490,10125061.236041
2022-07-01,14414606.407754,2150465.257339,11305623.144270,7574029.615035,7278367.805937,5286985.173435,5022851.694544,16931571.334058,8165056.926474,8641608.314477,8133746.495907,5933578.309814,5221220.577533,8003914.540911,9882847.154621,8861044.473342
2022-08-01,13492050.697910,1838123.444545,11462461.680027,7816921.858042,6168822.140046,4371334.401071,4877129.961095,18315701.058011,7167042.789058,6806867.747304,7295254.014013,6228090.784417,5564274.689356,6652050.607128,7097840.428098,8645815.556749
2022-09-01,12490904.069915,1744220.155706,11918467.590077,7120721.758515,6851877.856813,4495850.257517,4329953.677107,16584479.982838,6666617.045981,7818374.132747,6584135.881301,5442221.257716,5440152.218263,7558856.876210,9491220.513090,7003208.766245
2022-10-01,12846280.021793,1666472.428869,11087890.634888,6783777.255508,7185662.993762,5647498.456730,4896063.406774,14450693.825198,7126848.345330,7871906.169893,5932441.283104,5996564.262717,4680273.323519,7186387.410542,8460811.014272,6498646.444858
2022-11-01,12460599.083143,1826371.217083,11728291.811192,6899272.940943,7278021.808972,4749424.684261,4491841.859199,16518931.818756,7443085.283925,7420468.204637,6537747.169729,5645291.178850,5105382.282967,6670832.223032,8133497.682348,7864035.885091
2022-12-01,12808801.789882,1661780.826287,12020563.371797,6679525.740014,7105702.076563,5385149.152241,4753489.593394,14816640.159015,8303753.519881,8042952.297048,6900769.111904,5846591.358254,5832765.636538,7225068.514664,10064753.042762,7957422.915604
2023-01-01,13645981.135783,2103601.106378,13079554.696050,7487921.510107,6859131.106526,6368262.302747,5052277.275616,18575508.016831,8650339.249898,9716033.785985,7537731.215819,6300490.591419,5895874.966112,8446660.903821,10096909.474132,9308647.737963
2023-02-01,13051693.211004,2172300.631967,13514380.228973,7290031.865748,6882927.542902,6404095.788254,5227309.316518,19868564.816322,8615993.456130,9642706.297381,8016598.762680,6038879.213151,5820841.416042,8365940.573420,9509163.751911,9338573.237870
2023-03-01,13495233.154195,2358684.652713,12884109.468566,8641380.037318,7091125.513133,5948382.290229,5533861.518700,19156361.518583,8679902.696614,9014267.728112,8377480.995773,7182201.569773,5949679.976509,8261442.943432,10512254.244099,10000790.755929
2023-04-01,14193856.235380,2403661.273661,13797225.810322,7461132.473677,6548868.967392,5657500.623382,5162324.044036,20173547.695956,9178967.593378,8726857.164909,7386506.322789,7392623.376606,6912718.847131,8233658.341520,8855486.463500,8693793.976047
